,0
0,"Detroit, MI: Detroit Metro Wayne County"
1,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
2,"New York, NY: John F. Kennedy International"
3,"Seattle, WA: Seattle/Tacoma International"
4,"Chicago, IL: Chicago O'Hare International"
5,"San Jose, CA: Norman Y. Mineta San Jose International"
6,"St. Louis, MO: St Louis Lambert International"
7,"Washington, DC: Ronald Reagan Washington National"
8,"Tampa, FL: Tampa International"
9,"Miami, FL: Miami International"
10,"Denver, CO: Denver International"
11,"Los Angeles, CA: Los Angeles International"
12,"Kona, HI: Ellison Onizuka Kona International at Keahole"
13,"Houston, TX: George Bush Intercontinental/Houston"
14,"Austin, TX: Austin - Bergstrom International"
15,"Las Vegas, NV: McCarran International"
16,"Orlando, FL: Orlando International"
17,"Salt Lake City, UT: Salt Lake City International"
18,"Charlotte Amalie, VI: Cyril E King"
19,"Boston, MA: Logan International"
20,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
21,"San Francisco, CA: San Francisco International"
22,"Honolulu, HI: Daniel K Inouye International"
23,"Kahului, HI: Kahului Airport"
24,"Tulsa, OK: Tulsa International"
25,"Philadelphia, PA: Philadelphia International"
26,"Santa Ana, CA: John Wayne Airport-Orange County"
27,"Washington, DC: Washington Dulles International"
28,"New York, NY: LaGuardia"
29,"Raleigh/Durham, NC: Raleigh-Durham International"
30,"Newark, NJ: Newark Liberty International"
31,"Richmond, VA: Richmond International"
32,"Portland, OR: Portland International"
33,"Charlotte, NC: Charlotte Douglas International"
34,"El Paso, TX: El Paso International"
35,"San Diego, CA: San Diego International"
36,"San Antonio, TX: San Antonio International"
37,"Kansas City, MO: Kansas City International"
38,"Nashville, TN: Nashville International"
39,"Phoenix, AZ: Phoenix Sky Harbor International"
40,"Ontario, CA: Ontario International"
41,"Tucson, AZ: Tucson International"
42,"Sacramento, CA: Sacramento International"
43,"Oklahoma City, OK: Will Rogers World"
44,"Lihue, HI: Lihue Airport"
45,"Norfolk, VA: Norfolk International"
46,"Fort Myers, FL: Southwest Florida International"
47,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
48,"Minneapolis, MN: Minneapolis-St Paul International"
49,"Gunnison, CO: Gunnison-Crested Butte Regional"
50,"Indianapolis, IN: Indianapolis International"
51,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
52,"San Juan, PR: Luis Munoz Marin International"
53,"Palm Springs, CA: Palm Springs International"
54,"New Orleans, LA: Louis Armstrong New Orleans International"
55,"Colorado Springs, CO: City of Colorado Springs Municipal"
56,"Milwaukee, WI: General Mitchell International"
57,"Jacksonville, FL: Jacksonville International"
58,"Pittsburgh, PA: Pittsburgh International"
59,"Reno, NV: Reno/Tahoe International"
60,"Mission/McAllen/Edinburg, TX: McAllen Miller International"
61,"West Palm Beach/Palm Beach, FL: Palm Beach International"
62,"Eagle, CO: Eagle County Regional"
63,"Dayton, OH: James M Cox/Dayton International"
64,"Albuquerque, NM: Albuquerque International Sunport"
65,"Lubbock, TX: Lubbock Preston Smith International"
66,"Louisville, KY: Louisville International-Standiford Field"
67,"Christiansted, VI: Henry E. Rohlsen"
68,"Des Moines, IA: Des Moines International"
69,"Omaha, NE: Eppley Airfield"
70,"Cleveland, OH: Cleveland-Hopkins International"
71,"Hartford, CT: Bradley International"
72,"Fresno, CA: Fresno Yosemite International"
73,"Columbus, OH: John Glenn Columbus International"
74,"Jackson, WY: Jackson Hole"
75,"Montrose/Delta, CO: Montrose Regional"
76,"Hayden, CO: Yampa Valley"
77,"Memphis, TN: Memphis International"
78,"Houston, TX: William P Hobby"
79,"Boise, ID: Boise Air Terminal"
80,"Oakland, CA: Metropolitan Oakland International"
81,"Spokane, WA: Spokane International"
82,"Anchorage, AK: Ted Stevens Anchorage International"
83,"Buffalo, NY: Buffalo Niagara International"
84,"Wichita, KS: Wichita Dwight D Eisenhower National"
85,"Providence, RI: Theodore Francis Green State"
86,"Albany, NY: Albany International"
87,"Syracuse, NY: Syracuse Hancock International"
88,"Portland, ME: Portland International Jetport"
89,"Rochester, NY: Greater Rochester International"
90,"Wilmington, NC: Wilmington International"
91,"Charleston, SC: Charleston AFB/International"
92,"Harrisburg, PA: Harrisburg International"
93,"Greensboro/High Point, NC: Piedmont Triad International"
94,"Birmingham, AL: Birmingham-Shuttlesworth International"
95,"Savannah, GA: Savannah/Hilton Head International"
96,"Daytona Beach, FL: Daytona Beach International"
97,"Fayetteville, AR: Northwest Arkansas Regional"
98,"Amarillo, TX: Rick Husband Amarillo International"
99,"Pensacola, FL: Pensacola International"
100,"Corpus Christi, TX: Corpus Christi International"
