,0
0,"Lihue, HI: Lihue Airport"
1,"Portland, OR: Portland International"
2,"Kahului, HI: Kahului Airport"
3,"Sacramento, CA: Sacramento International"
4,"Oakland, CA: Metropolitan Oakland International"
5,"Seattle, WA: Seattle/Tacoma International"
6,"Honolulu, HI: Daniel K Inouye International"
7,"Kona, HI: Ellison Onizuka Kona International at Keahole"
8,"San Diego, CA: San Diego International"
9,"Anchorage, AK: Ted Stevens Anchorage International"
10,"Bellingham, WA: Bellingham International"
11,"Washington, DC: Ronald Reagan Washington National"
12,"Los Angeles, CA: Los Angeles International"
13,"Newark, NJ: Newark Liberty International"
14,"Boston, MA: Logan International"
15,"Orlando, FL: Orlando International"
16,"New York, NY: John F. Kennedy International"
17,"Chicago, IL: Chicago O'Hare International"
18,"Minneapolis, MN: Minneapolis-St Paul International"
19,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
20,"Bethel, AK: Bethel Airport"
21,"Kodiak, AK: Kodiak Airport"
22,"Barrow, AK: Wiley Post/Will Rogers Memorial"
23,"Deadhorse, AK: Deadhorse Airport"
24,"Fairbanks, AK: Fairbanks International"
25,"Ketchikan, AK: Ketchikan International"
26,"Yakutat, AK: Yakutat Airport"
27,"Cordova, AK: Merle K Mudhole Smith"
28,"Juneau, AK: Juneau International"
29,"Sitka, AK: Sitka Rocky Gutierrez"
30,"Wrangell, AK: Wrangell Airport"
31,"Petersburg, AK: Petersburg James A Johnson"
32,"Nome, AK: Nome Airport"
33,"Kotzebue, AK: Ralph Wien Memorial"
34,"Phoenix, AZ: Phoenix Sky Harbor International"
35,"San Jose, CA: Norman Y. Mineta San Jose International"
36,"Santa Ana, CA: John Wayne Airport-Orange County"
37,"San Francisco, CA: San Francisco International"
38,"Palm Springs, CA: Palm Springs International"
39,"Las Vegas, NV: McCarran International"
40,"Burbank, CA: Bob Hope"
41,"Ontario, CA: Ontario International"
42,"Tucson, AZ: Tucson International"
43,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
44,"Philadelphia, PA: Philadelphia International"
45,"Denver, CO: Denver International"
46,"Austin, TX: Austin - Bergstrom International"
47,"Spokane, WA: Spokane International"
48,"San Antonio, TX: San Antonio International"
49,"Salt Lake City, UT: Salt Lake City International"
50,"Washington, DC: Washington Dulles International"
51,"Houston, TX: George Bush Intercontinental/Houston"
52,"Nashville, TN: Nashville International"
53,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
54,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
55,"St. Louis, MO: St Louis Lambert International"
56,"Kansas City, MO: Kansas City International"
57,"Raleigh/Durham, NC: Raleigh-Durham International"
58,"Charleston, SC: Charleston AFB/International"
59,"Tampa, FL: Tampa International"
60,"New Orleans, LA: Louis Armstrong New Orleans International"
61,"Detroit, MI: Detroit Metro Wayne County"
62,"Albuquerque, NM: Albuquerque International Sunport"
63,"Adak Island, AK: Adak"
64,"Gustavus, AK: Gustavus Airport"
65,"Dillingham, AK: Dillingham Airport"
66,"King Salmon, AK: King Salmon Airport"
67,"Omaha, NE: Eppley Airfield"
