,0
0,"Santa Ana, CA: John Wayne Airport-Orange County"
1,"Los Angeles, CA: Los Angeles International"
2,"New York, NY: John F. Kennedy International"
3,"Seattle, WA: Seattle/Tacoma International"
4,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
5,"New York, NY: LaGuardia"
6,"Orlando, FL: Orlando International"
7,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
8,"Las Vegas, NV: McCarran International"
9,"New Orleans, LA: Louis Armstrong New Orleans International"
10,"Chicago, IL: Chicago O'Hare International"
11,"Philadelphia, PA: Philadelphia International"
12,"Albuquerque, NM: Albuquerque International Sunport"
13,"Phoenix, AZ: Phoenix Sky Harbor International"
14,"Boston, MA: Logan International"
15,"Minneapolis, MN: Minneapolis-St Paul International"
16,"Detroit, MI: Detroit Metro Wayne County"
17,"Salt Lake City, UT: Salt Lake City International"
18,"Columbus, OH: John Glenn Columbus International"
19,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
20,"San Diego, CA: San Diego International"
21,"Norfolk, VA: Norfolk International"
22,"Charlotte, NC: Charlotte Douglas International"
23,"Houston, TX: George Bush Intercontinental/Houston"
24,"Tucson, AZ: Tucson International"
25,"Fargo, ND: Hector International"
26,"Madison, WI: Dane County Regional-Truax Field"
27,"Portland, OR: Portland International"
28,"Fort Myers, FL: Southwest Florida International"
29,"Miami, FL: Miami International"
30,"Austin, TX: Austin - Bergstrom International"
31,"Denver, CO: Denver International"
32,"Grand Rapids, MI: Gerald R. Ford International"
33,"Albany, NY: Albany International"
34,"Honolulu, HI: Daniel K Inouye International"
35,"West Palm Beach/Palm Beach, FL: Palm Beach International"
36,"Indianapolis, IN: Indianapolis International"
37,"Tampa, FL: Tampa International"
38,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
39,"Evansville, IN: Evansville Regional"
40,"Boise, ID: Boise Air Terminal"
41,"Hartford, CT: Bradley International"
42,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International"
43,"Nashville, TN: Nashville International"
44,"Jacksonville, FL: Jacksonville International"
45,"Pittsburgh, PA: Pittsburgh International"
46,"Billings, MT: Billings Logan International"
47,"Raleigh/Durham, NC: Raleigh-Durham International"
48,"Oakland, CA: Metropolitan Oakland International"
49,"Daytona Beach, FL: Daytona Beach International"
50,"Augusta, GA: Augusta Regional at Bush Field"
51,"Omaha, NE: Eppley Airfield"
52,"Dallas, TX: Dallas Love Field"
53,"Kansas City, MO: Kansas City International"
54,"Newark, NJ: Newark Liberty International"
55,"Bristol/Johnson City/Kingsport, TN: Tri Cities"
56,"St. Louis, MO: St Louis Lambert International"
57,"Chicago, IL: Chicago Midway International"
58,"Providence, RI: Theodore Francis Green State"
59,"Colorado Springs, CO: City of Colorado Springs Municipal"
60,"San Antonio, TX: San Antonio International"
61,"Washington, DC: Ronald Reagan Washington National"
62,"San Francisco, CA: San Francisco International"
63,"Gulfport/Biloxi, MS: Gulfport-Biloxi International"
64,"Newport News/Williamsburg, VA: Newport News/Williamsburg International"
65,"Sacramento, CA: Sacramento International"
66,"Memphis, TN: Memphis International"
67,"Louisville, KY: Louisville International-Standiford Field"
68,"Melbourne, FL: Melbourne International"
69,"Bozeman, MT: Bozeman Yellowstone International"
70,"San Juan, PR: Luis Munoz Marin International"
71,"Eagle, CO: Eagle County Regional"
72,"San Jose, CA: Norman Y. Mineta San Jose International"
73,"El Paso, TX: El Paso International"
74,"Houston, TX: William P Hobby"
75,"Savannah, GA: Savannah/Hilton Head International"
76,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
77,"Chattanooga, TN: Lovell Field"
78,"Portland, ME: Portland International Jetport"
79,"Buffalo, NY: Buffalo Niagara International"
80,"Missoula, MT: Missoula International"
81,"Birmingham, AL: Birmingham-Shuttlesworth International"
82,"Richmond, VA: Richmond International"
83,"Charlottesville, VA: Charlottesville Albemarle"
84,"Dayton, OH: James M Cox/Dayton International"
85,"Lexington, KY: Blue Grass"
86,"Key West, FL: Key West International"
87,"Wichita, KS: Wichita Dwight D Eisenhower National"
88,"Sarasota/Bradenton, FL: Sarasota/Bradenton International"
89,"Harrisburg, PA: Harrisburg International"
90,"Milwaukee, WI: General Mitchell International"
91,"Oklahoma City, OK: Will Rogers World"
92,"Panama City, FL: Northwest Florida Beaches International"
93,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach"
94,"Cleveland, OH: Cleveland-Hopkins International"
95,"Greer, SC: Greenville-Spartanburg International"
96,"Appleton, WI: Appleton International"
97,"Charleston, SC: Charleston AFB/International"
98,"Spokane, WA: Spokane International"
99,"Lafayette, LA: Lafayette Regional Paul Fournet Field"
100,"Montrose/Delta, CO: Montrose Regional"
101,"Springfield, MO: Springfield-Branson National"
102,"Anchorage, AK: Ted Stevens Anchorage International"
103,"Washington, DC: Washington Dulles International"
104,"Jackson, WY: Jackson Hole"
105,"Charlotte Amalie, VI: Cyril E King"
106,"Syracuse, NY: Syracuse Hancock International"
107,"Christiansted, VI: Henry E. Rohlsen"
108,"Reno, NV: Reno/Tahoe International"
109,"Sioux Falls, SD: Joe Foss Field"
110,"Fayetteville, NC: Fayetteville Regional/Grannis Field"
111,"Akron, OH: Akron-Canton Regional"
112,"Kahului, HI: Kahului Airport"
113,"Greensboro/High Point, NC: Piedmont Triad International"
114,"Pensacola, FL: Pensacola International"
115,"Ontario, CA: Ontario International"
116,"Kona, HI: Ellison Onizuka Kona International at Keahole"
117,"Wilmington, NC: Wilmington International"
118,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field"
119,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field"
120,"Rochester, NY: Greater Rochester International"
121,"Manchester, NH: Manchester-Boston Regional"
122,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International"
123,"Juneau, AK: Juneau International"
124,"Myrtle Beach, SC: Myrtle Beach International"
125,"Huntsville, AL: Huntsville International-Carl T Jones Field"
126,"Knoxville, TN: McGhee Tyson"
127,"Lihue, HI: Lihue Airport"
128,"Flint, MI: Bishop International"
129,"Asheville, NC: Asheville Regional"
130,"Columbia, SC: Columbia Metropolitan"
131,"Palm Springs, CA: Palm Springs International"
132,"Charleston/Dunbar, WV: Yeager"
133,"Tulsa, OK: Tulsa International"
134,"Hayden, CO: Yampa Valley"
135,"Des Moines, IA: Des Moines International"
136,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
137,"Fayetteville, AR: Northwest Arkansas Regional"
138,"Bloomington/Normal, IL: Central Illinois Regional"
139,"Tallahassee, FL: Tallahassee International"
140,"Bismarck/Mandan, ND: Bismarck Municipal"
141,"Green Bay, WI: Green Bay Austin Straubel International"
142,"Kalispell, MT: Glacier Park International"
143,"Mobile, AL: Mobile Regional"
144,"Pasco/Kennewick/Richland, WA: Tri Cities"
145,"Shreveport, LA: Shreveport Regional"
146,"Gainesville, FL: Gainesville Regional"
147,"Duluth, MN: Duluth International"
148,"Traverse City, MI: Cherry Capital"
149,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field"
150,"Fairbanks, AK: Fairbanks International"
151,"Rapid City, SD: Rapid City Regional"
152,"Long Beach, CA: Long Beach Airport"
153,"Burlington, VT: Burlington International"
154,"Bangor, ME: Bangor International"
155,"Jacksonville/Camp Lejeune, NC: Albert J Ellis"
156,"South Bend, IN: South Bend International"
157,"Cedar Rapids/Iowa City, IA: The Eastern Iowa"
