,0
0,"Joplin, MO: Joplin Regional"
1,"Columbia, SC: Columbia Metropolitan"
2,"Shreveport, LA: Shreveport Regional"
3,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
4,"Gulfport/Biloxi, MS: Gulfport-Biloxi International"
5,"Tyler, TX: Tyler Pounds Regional"
6,"Monroe, LA: Monroe Regional"
7,"Knoxville, TN: McGhee Tyson"
8,"Killeen, TX: Robert Gray AAF"
9,"Midland/Odessa, TX: Midland International Air and Space Port"
10,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field"
11,"Tulsa, OK: Tulsa International"
12,"Chicago, IL: Chicago O'Hare International"
13,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional"
14,"Springfield, IL: Abraham Lincoln Capital"
15,"Waco, TX: Waco Regional"
16,"Brownsville, TX: Brownsville South Padre Island International"
17,"Alexandria, LA: Alexandria International"
18,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach"
19,"Lake Charles, LA: Lake Charles Regional"
20,"Houston, TX: George Bush Intercontinental/Houston"
21,"Cedar Rapids/Iowa City, IA: The Eastern Iowa"
22,"Cleveland, OH: Cleveland-Hopkins International"
23,"Rochester, NY: Greater Rochester International"
24,"Dayton, OH: James M Cox/Dayton International"
25,"Hartford, CT: Bradley International"
26,"Minneapolis, MN: Minneapolis-St Paul International"
27,"Wichita, KS: Wichita Dwight D Eisenhower National"
28,"Newark, NJ: Newark Liberty International"
29,"Louisville, KY: Louisville International-Standiford Field"
30,"St. Louis, MO: St Louis Lambert International"
31,"Burlington, VT: Burlington International"
32,"Buffalo, NY: Buffalo Niagara International"
33,"Corpus Christi, TX: Corpus Christi International"
34,"Greer, SC: Greenville-Spartanburg International"
35,"Nashville, TN: Nashville International"
36,"College Station/Bryan, TX: Easterwood Field"
37,"Tucson, AZ: Tucson International"
38,"Omaha, NE: Eppley Airfield"
39,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
40,"El Paso, TX: El Paso International"
41,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International"
42,"Memphis, TN: Memphis International"
43,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field"
44,"Savannah, GA: Savannah/Hilton Head International"
45,"Lafayette, LA: Lafayette Regional Paul Fournet Field"
46,"Boston, MA: Logan International"
47,"Meridian, MS: Key Field"
48,"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional"
49,"Fort Smith, AR: Fort Smith Regional"
50,"Chattanooga, TN: Lovell Field"
51,"Houston, TX: William P Hobby"
52,"Beaumont/Port Arthur, TX: Jack Brooks Regional"
53,"Santa Fe, NM: Santa Fe Municipal"
54,"Laredo, TX: Laredo International"
55,"Texarkana, AR: Texarkana Regional-Webb Field"
56,"Roswell, NM: Roswell International Air Center"
57,"Pensacola, FL: Pensacola International"
58,"Peoria, IL: General Downing - Peoria International"
59,"Huntsville, AL: Huntsville International-Carl T Jones Field"
60,"Lubbock, TX: Lubbock Preston Smith International"
61,"Tallahassee, FL: Tallahassee International"
62,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
63,"Madison, WI: Dane County Regional-Truax Field"
64,"Jacksonville, FL: Jacksonville International"
65,"Norfolk, VA: Norfolk International"
66,"Appleton, WI: Appleton International"
67,"Charlotte, NC: Charlotte Douglas International"
68,"Pittsburgh, PA: Pittsburgh International"
69,"Des Moines, IA: Des Moines International"
70,"Mission/McAllen/Edinburg, TX: McAllen Miller International"
71,"Portland, ME: Portland International Jetport"
72,"Indianapolis, IN: Indianapolis International"
73,"Raleigh/Durham, NC: Raleigh-Durham International"
74,"Oklahoma City, OK: Will Rogers World"
75,"Albuquerque, NM: Albuquerque International Sunport"
76,"New Orleans, LA: Louis Armstrong New Orleans International"
77,"Fort Myers, FL: Southwest Florida International"
78,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field"
79,"Kansas City, MO: Kansas City International"
80,"Mosinee, WI: Central Wisconsin"
81,"Washington, DC: Ronald Reagan Washington National"
82,"Sioux Falls, SD: Joe Foss Field"
83,"Traverse City, MI: Cherry Capital"
84,"Springfield, MO: Springfield-Branson National"
85,"Charleston, SC: Charleston AFB/International"
86,"White Plains, NY: Westchester County"
87,"Albany, NY: Albany International"
88,"Mobile, AL: Mobile Regional"
89,"Richmond, VA: Richmond International"
90,"Kalamazoo, MI: Kalamazoo/Battle Creek International"
91,"Akron, OH: Akron-Canton Regional"
92,"Fayetteville, AR: Northwest Arkansas Regional"
93,"New York, NY: LaGuardia"
94,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
95,"Providence, RI: Theodore Francis Green State"
96,"Lansing, MI: Capital Region International"
97,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International"
98,"Lexington, KY: Blue Grass"
99,"Amarillo, TX: Rick Husband Amarillo International"
100,"Milwaukee, WI: General Mitchell International"
101,"Erie, PA: Erie International/Tom Ridge Field"
102,"Columbus, OH: John Glenn Columbus International"
103,"Panama City, FL: Northwest Florida Beaches International"
104,"Greensboro/High Point, NC: Piedmont Triad International"
105,"Syracuse, NY: Syracuse Hancock International"
106,"Harrisburg, PA: Harrisburg International"
107,"Green Bay, WI: Green Bay Austin Straubel International"
108,"Harlingen/San Benito, TX: Valley International"
109,"San Antonio, TX: San Antonio International"
110,"Montrose/Delta, CO: Montrose Regional"
111,"Grand Rapids, MI: Gerald R. Ford International"
112,"Colorado Springs, CO: City of Colorado Springs Municipal"
113,"Birmingham, AL: Birmingham-Shuttlesworth International"
114,"Charleston/Dunbar, WV: Yeager"
115,"Moline, IL: Quad City International"
116,"South Bend, IN: South Bend International"
117,"Detroit, MI: Detroit Metro Wayne County"
118,"Lincoln, NE: Lincoln Airport"
119,"Hobbs, NM: Lea County Regional"
120,"Philadelphia, PA: Philadelphia International"
121,"Austin, TX: Austin - Bergstrom International"
122,"Manchester, NH: Manchester-Boston Regional"
123,"Flint, MI: Bishop International"
124,"Elmira/Corning, NY: Elmira/Corning Regional"
125,"Fargo, ND: Hector International"
126,"Asheville, NC: Asheville Regional"
127,"State College, PA: University Park"
128,"West Palm Beach/Palm Beach, FL: Palm Beach International"
129,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
130,"Evansville, IN: Evansville Regional"
131,"Grand Junction, CO: Grand Junction Regional"
132,"Bristol/Johnson City/Kingsport, TN: Tri Cities"
133,"Chicago, IL: Chicago Midway International"
134,"Jacksonville/Camp Lejeune, NC: Albert J Ellis"
135,"Myrtle Beach, SC: Myrtle Beach International"
136,"Valdosta, GA: Valdosta Regional"
137,"Montgomery, AL: Montgomery Regional"
138,"Gainesville, FL: Gainesville Regional"
139,"Fayetteville, NC: Fayetteville Regional/Grannis Field"
140,"Charlottesville, VA: Charlottesville Albemarle"
141,"Washington, DC: Washington Dulles International"
142,"Rapid City, SD: Rapid City Regional"
143,"Dallas, TX: Dallas Love Field"
144,"Augusta, GA: Augusta Regional at Bush Field"
145,"Columbus, MS: Golden Triangle Regional"
146,"Key West, FL: Key West International"
147,"Brunswick, GA: Brunswick Golden Isles"
148,"Dothan, AL: Dothan Regional"
149,"Wilmington, NC: Wilmington International"
150,"Columbus, GA: Columbus Airport"
151,"Bismarck/Mandan, ND: Bismarck Municipal"
152,"Bloomington/Normal, IL: Central Illinois Regional"
153,"Rochester, MN: Rochester International"
154,"Melbourne, FL: Melbourne International"
155,"Orlando, FL: Orlando International"
156,"Newport News/Williamsburg, VA: Newport News/Williamsburg International"
157,"Bangor, ME: Bangor International"
158,"Albany, GA: Southwest Georgia Regional"
159,"Saginaw/Bay City/Midland, MI: MBS International"
160,"Daytona Beach, FL: Daytona Beach International"
161,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional"
162,"Williston, ND: Sloulin Field International"
163,"Phoenix, AZ: Phoenix Sky Harbor International"
164,"Salt Lake City, UT: Salt Lake City International"
165,"Miami, FL: Miami International"
166,"San Angelo, TX: San Angelo Regional/Mathis Field"
167,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal"
168,"Longview, TX: East Texas Regional"
169,"Fort Wayne, IN: Fort Wayne International"
170,"Durango, CO: Durango La Plata County"
171,"Garden City, KS: Garden City Regional"
172,"Manhattan/Ft. Riley, KS: Manhattan Regional"
173,"Abilene, TX: Abilene Regional"
174,"Grand Island, NE: Central Nebraska Regional"
175,"Billings, MT: Billings Logan International"
176,"Hayden, CO: Yampa Valley"
177,"Minot, ND: Minot International"
