,0
0,"Cedar Rapids/Iowa City, IA: The Eastern Iowa"
1,"Denver, CO: Denver International"
2,"Raleigh/Durham, NC: Raleigh-Durham International"
3,"Trenton, NJ: Trenton Mercer"
4,"Chicago, IL: Chicago O'Hare International"
5,"Orlando, FL: Orlando International"
6,"New Orleans, LA: Louis Armstrong New Orleans International"
7,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
8,"Minneapolis, MN: Minneapolis-St Paul International"
9,"Houston, TX: George Bush Intercontinental/Houston"
10,"San Francisco, CA: San Francisco International"
11,"Miami, FL: Miami International"
12,"Las Vegas, NV: McCarran International"
13,"Tampa, FL: Tampa International"
14,"Philadelphia, PA: Philadelphia International"
15,"Charlotte, NC: Charlotte Douglas International"
16,"Bismarck/Mandan, ND: Bismarck Municipal"
17,"Missoula, MT: Missoula International"
18,"West Palm Beach/Palm Beach, FL: Palm Beach International"
19,"Los Angeles, CA: Los Angeles International"
20,"Detroit, MI: Detroit Metro Wayne County"
21,"Fort Myers, FL: Southwest Florida International"
22,"Seattle, WA: Seattle/Tacoma International"
23,"New York, NY: LaGuardia"
24,"Phoenix, AZ: Phoenix Sky Harbor International"
25,"Washington, DC: Ronald Reagan Washington National"
26,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
27,"Portland, OR: Portland International"
28,"Santa Ana, CA: John Wayne Airport-Orange County"
29,"St. Louis, MO: St Louis Lambert International"
30,"Nashville, TN: Nashville International"
31,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
32,"Indianapolis, IN: Indianapolis International"
33,"Cleveland, OH: Cleveland-Hopkins International"
34,"Memphis, TN: Memphis International"
35,"Milwaukee, WI: General Mitchell International"
36,"Austin, TX: Austin - Bergstrom International"
37,"Washington, DC: Washington Dulles International"
38,"Bozeman, MT: Bozeman Yellowstone International"
39,"San Diego, CA: San Diego International"
40,"Salt Lake City, UT: Salt Lake City International"
41,"Kansas City, MO: Kansas City International"
42,"Greensboro/High Point, NC: Piedmont Triad International"
43,"Madison, WI: Dane County Regional-Truax Field"
44,"St. Augustine, FL: Northeast Florida Regional"
45,"Omaha, NE: Eppley Airfield"
46,"Des Moines, IA: Des Moines International"
47,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
48,"Knoxville, TN: McGhee Tyson"
49,"Sioux Falls, SD: Joe Foss Field"
50,"Colorado Springs, CO: City of Colorado Springs Municipal"
51,"San Antonio, TX: San Antonio International"
52,"Columbus, OH: John Glenn Columbus International"
53,"Pittsburgh, PA: Pittsburgh International"
54,"Punta Gorda, FL: Punta Gorda Airport"
