,0
0,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
1,"Orlando, FL: Orlando International"
2,"Chicago, IL: Chicago O'Hare International"
3,"Cleveland, OH: Cleveland-Hopkins International"
4,"Las Vegas, NV: McCarran International"
5,"San Diego, CA: San Diego International"
6,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
7,"Denver, CO: Denver International"
8,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
9,"Houston, TX: George Bush Intercontinental/Houston"
10,"Kansas City, MO: Kansas City International"
11,"Detroit, MI: Detroit Metro Wayne County"
12,"Fort Myers, FL: Southwest Florida International"
13,"Myrtle Beach, SC: Myrtle Beach International"
14,"Boston, MA: Logan International"
15,"Atlantic City, NJ: Atlantic City International"
16,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
17,"Phoenix, AZ: Phoenix Sky Harbor International"
18,"Latrobe, PA: Arnold Palmer Regional"
19,"Tampa, FL: Tampa International"
20,"New York, NY: LaGuardia"
21,"Minneapolis, MN: Minneapolis-St Paul International"
22,"Los Angeles, CA: Los Angeles International"
23,"Aguadilla, PR: Rafael Hernandez"
24,"Philadelphia, PA: Philadelphia International"
25,"Niagara Falls, NY: Niagara Falls International"
26,"West Palm Beach/Palm Beach, FL: Palm Beach International"
27,"Portland, OR: Portland International"
28,"New Orleans, LA: Louis Armstrong New Orleans International"
29,"San Juan, PR: Luis Munoz Marin International"
30,"Oakland, CA: Metropolitan Oakland International"
31,"Charlotte Amalie, VI: Cyril E King"
32,"Plattsburgh, NY: Plattsburgh International"
33,"Seattle, WA: Seattle/Tacoma International"
34,"Charleston/Dunbar, WV: Yeager"
35,"Newark, NJ: Newark Liberty International"
36,"Akron, OH: Akron-Canton Regional"
