,0
0,"Milwaukee, WI: General Mitchell International"
1,"Chicago, IL: Chicago O'Hare International"
2,"Wichita, KS: Wichita Dwight D Eisenhower National"
3,"Phoenix, AZ: Phoenix Sky Harbor International"
4,"Tucson, AZ: Tucson International"
5,"Los Angeles, CA: Los Angeles International"
6,"Yuma, AZ: Yuma MCAS/Yuma International"
7,"San Jose, CA: Norman Y. Mineta San Jose International"
8,"Salt Lake City, UT: Salt Lake City International"
9,"Las Vegas, NV: McCarran International"
10,"Long Beach, CA: Long Beach Airport"
11,"Omaha, NE: Eppley Airfield"
12,"Seattle, WA: Seattle/Tacoma International"
13,"Austin, TX: Austin - Bergstrom International"
14,"Spokane, WA: Spokane International"
15,"Minneapolis, MN: Minneapolis-St Paul International"
16,"Duluth, MN: Duluth International"
17,"St. Louis, MO: St Louis Lambert International"
18,"Detroit, MI: Detroit Metro Wayne County"
19,"Fayetteville, AR: Northwest Arkansas Regional"
20,"Fort Wayne, IN: Fort Wayne International"
21,"Green Bay, WI: Green Bay Austin Straubel International"
22,"Madison, WI: Dane County Regional-Truax Field"
23,"Des Moines, IA: Des Moines International"
24,"Billings, MT: Billings Logan International"
25,"Bismarck/Mandan, ND: Bismarck Municipal"
26,"South Bend, IN: South Bend International"
27,"Fargo, ND: Hector International"
28,"Cedar Rapids/Iowa City, IA: The Eastern Iowa"
29,"Lansing, MI: Capital Region International"
30,"Missoula, MT: Missoula International"
31,"Santa Barbara, CA: Santa Barbara Municipal"
32,"Durango, CO: Durango La Plata County"
33,"Rapid City, SD: Rapid City Regional"
34,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
35,"Aspen, CO: Aspen Pitkin County Sardy Field"
36,"Greer, SC: Greenville-Spartanburg International"
37,"Portland, OR: Portland International"
38,"Columbus, OH: John Glenn Columbus International"
39,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
40,"Colorado Springs, CO: City of Colorado Springs Municipal"
41,"Houston, TX: George Bush Intercontinental/Houston"
42,"Denver, CO: Denver International"
43,"Eugene, OR: Mahlon Sweet Field"
44,"Mammoth Lakes, CA: Mammoth Lakes Airport"
45,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
46,"Oklahoma City, OK: Will Rogers World"
47,"San Francisco, CA: San Francisco International"
48,"San Diego, CA: San Diego International"
49,"Boise, ID: Boise Air Terminal"
50,"Gunnison, CO: Gunnison-Crested Butte Regional"
51,"San Antonio, TX: San Antonio International"
52,"Bozeman, MT: Bozeman Yellowstone International"
53,"Shreveport, LA: Shreveport Regional"
54,"Indianapolis, IN: Indianapolis International"
55,"Lincoln, NE: Lincoln Airport"
56,"Medford, OR: Rogue Valley International - Medford"
57,"Washington, DC: Washington Dulles International"
58,"Springfield, IL: Abraham Lincoln Capital"
59,"Grand Junction, CO: Grand Junction Regional"
60,"Kansas City, MO: Kansas City International"
61,"Hayden, CO: Yampa Valley"
62,"Birmingham, AL: Birmingham-Shuttlesworth International"
63,"Great Falls, MT: Great Falls International"
64,"Syracuse, NY: Syracuse Hancock International"
65,"Burbank, CA: Bob Hope"
66,"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field"
67,"Moline, IL: Quad City International"
68,"Minot, ND: Minot International"
69,"Dayton, OH: James M Cox/Dayton International"
70,"La Crosse, WI: La Crosse Regional"
71,"Chicago, IL: Chicago Midway International"
72,"Oakland, CA: Metropolitan Oakland International"
73,"Pasco/Kennewick/Richland, WA: Tri Cities"
74,"Jackson, WY: Jackson Hole"
75,"Kalispell, MT: Glacier Park International"
76,"Flagstaff, AZ: Flagstaff Pulliam"
77,"Palm Springs, CA: Palm Springs International"
78,"Helena, MT: Helena Regional"
79,"Nashville, TN: Nashville International"
80,"Arcata/Eureka, CA: California Redwood Coast Humboldt County"
81,"Memphis, TN: Memphis International"
82,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field"
83,"Bloomington/Normal, IL: Central Illinois Regional"
84,"Albuquerque, NM: Albuquerque International Sunport"
85,"New Orleans, LA: Louis Armstrong New Orleans International"
86,"Sioux Falls, SD: Joe Foss Field"
87,"Rochester, MN: Rochester International"
88,"Saginaw/Bay City/Midland, MI: MBS International"
89,"Providence, RI: Theodore Francis Green State"
90,"Washington, DC: Ronald Reagan Washington National"
91,"Raleigh/Durham, NC: Raleigh-Durham International"
92,"Lubbock, TX: Lubbock Preston Smith International"
93,"Charlottesville, VA: Charlottesville Albemarle"
94,"Bakersfield, CA: Meadows Field"
95,"Peoria, IL: General Downing - Peoria International"
96,"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial"
97,"Idaho Falls, ID: Idaho Falls Regional"
98,"Philadelphia, PA: Philadelphia International"
99,"Monterey, CA: Monterey Regional"
100,"Fresno, CA: Fresno Yosemite International"
101,"Lexington, KY: Blue Grass"
102,"Louisville, KY: Louisville International-Standiford Field"
103,"Grand Rapids, MI: Gerald R. Ford International"
104,"Grand Forks, ND: Grand Forks International"
105,"Tulsa, OK: Tulsa International"
106,"Knoxville, TN: McGhee Tyson"
107,"Amarillo, TX: Rick Husband Amarillo International"
108,"Appleton, WI: Appleton International"
109,"Cleveland, OH: Cleveland-Hopkins International"
110,"Lafayette, LA: Lafayette Regional Paul Fournet Field"
111,"Corpus Christi, TX: Corpus Christi International"
112,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach"
113,"Montrose/Delta, CO: Montrose Regional"
114,"San Luis Obispo, CA: San Luis County Regional"
115,"Williston, ND: Sloulin Field International"
116,"Sacramento, CA: Sacramento International"
117,"St. George, UT: St George Regional"
118,"Twin Falls, ID: Joslin Field - Magic Valley Regional"
