,0
0,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
1,"Santa Ana, CA: John Wayne Airport-Orange County"
2,"Houston, TX: George Bush Intercontinental/Houston"
3,"Newark, NJ: Newark Liberty International"
4,"Honolulu, HI: Daniel K Inouye International"
5,"San Francisco, CA: San Francisco International"
6,"Fort Myers, FL: Southwest Florida International"
7,"Las Vegas, NV: McCarran International"
8,"Guam, TT: Guam International"
9,"Phoenix, AZ: Phoenix Sky Harbor International"
10,"Chicago, IL: Chicago O'Hare International"
11,"Orlando, FL: Orlando International"
12,"Los Angeles, CA: Los Angeles International"
13,"Cleveland, OH: Cleveland-Hopkins International"
14,"Indianapolis, IN: Indianapolis International"
15,"Minneapolis, MN: Minneapolis-St Paul International"
16,"Washington, DC: Washington Dulles International"
17,"Philadelphia, PA: Philadelphia International"
18,"Denver, CO: Denver International"
19,"Kansas City, MO: Kansas City International"
20,"San Diego, CA: San Diego International"
21,"Boston, MA: Logan International"
22,"San Jose, CA: Norman Y. Mineta San Jose International"
23,"Tampa, FL: Tampa International"
24,"Salt Lake City, UT: Salt Lake City International"
25,"Pittsburgh, PA: Pittsburgh International"
26,"New Orleans, LA: Louis Armstrong New Orleans International"
27,"Des Moines, IA: Des Moines International"
28,"Spokane, WA: Spokane International"
29,"Seattle, WA: Seattle/Tacoma International"
30,"Boise, ID: Boise Air Terminal"
31,"Jackson, WY: Jackson Hole"
32,"Sacramento, CA: Sacramento International"
33,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
34,"Reno, NV: Reno/Tahoe International"
35,"New York, NY: LaGuardia"
36,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
37,"Columbus, OH: John Glenn Columbus International"
38,"San Antonio, TX: San Antonio International"
39,"Portland, OR: Portland International"
40,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
41,"Raleigh/Durham, NC: Raleigh-Durham International"
42,"Detroit, MI: Detroit Metro Wayne County"
43,"Nashville, TN: Nashville International"
44,"West Palm Beach/Palm Beach, FL: Palm Beach International"
45,"Miami, FL: Miami International"
46,"Aguadilla, PR: Rafael Hernandez"
47,"Washington, DC: Ronald Reagan Washington National"
48,"Lihue, HI: Lihue Airport"
49,"Anchorage, AK: Ted Stevens Anchorage International"
50,"Grand Rapids, MI: Gerald R. Ford International"
51,"Kahului, HI: Kahului Airport"
52,"Albuquerque, NM: Albuquerque International Sunport"
53,"Austin, TX: Austin - Bergstrom International"
54,"San Juan, PR: Luis Munoz Marin International"
55,"Kona, HI: Ellison Onizuka Kona International at Keahole"
56,"Charlotte, NC: Charlotte Douglas International"
57,"Charlotte Amalie, VI: Cyril E King"
58,"Tulsa, OK: Tulsa International"
59,"Sioux Falls, SD: Joe Foss Field"
60,"Tucson, AZ: Tucson International"
61,"Palm Springs, CA: Palm Springs International"
62,"Sarasota/Bradenton, FL: Sarasota/Bradenton International"
63,"Eagle, CO: Eagle County Regional"
64,"Omaha, NE: Eppley Airfield"
65,"Wichita, KS: Wichita Dwight D Eisenhower National"
66,"Memphis, TN: Memphis International"
67,"Mission/McAllen/Edinburg, TX: McAllen Miller International"
68,"Bozeman, MT: Bozeman Yellowstone International"
69,"Burlington, VT: Burlington International"
70,"Norfolk, VA: Norfolk International"
71,"Billings, MT: Billings Logan International"
72,"Madison, WI: Dane County Regional-Truax Field"
73,"Hayden, CO: Yampa Valley"
74,"Hilo, HI: Hilo International"
75,"Charleston, SC: Charleston AFB/International"
76,"Albany, NY: Albany International"
77,"Montrose/Delta, CO: Montrose Regional"
78,"Oklahoma City, OK: Will Rogers World"
79,"Hartford, CT: Bradley International"
80,"Rochester, NY: Greater Rochester International"
81,"Buffalo, NY: Buffalo Niagara International"
82,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field"
83,"St. Louis, MO: St Louis Lambert International"
84,"Gunnison, CO: Gunnison-Crested Butte Regional"
85,"Richmond, VA: Richmond International"
86,"Jacksonville, FL: Jacksonville International"
87,"Milwaukee, WI: General Mitchell International"
88,"Augusta, GA: Augusta Regional at Bush Field"
89,"Harrisburg, PA: Harrisburg International"
90,"Providence, RI: Theodore Francis Green State"
91,"Louisville, KY: Louisville International-Standiford Field"
92,"Fairbanks, AK: Fairbanks International"
93,"Eugene, OR: Mahlon Sweet Field"
94,"Savannah, GA: Savannah/Hilton Head International"
95,"Missoula, MT: Missoula International"
96,"Myrtle Beach, SC: Myrtle Beach International"
97,"Portland, ME: Portland International Jetport"
98,"Ontario, CA: Ontario International"
99,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
100,"Saipan, TT: Francisco C. Ada Saipan International"
