,0
0,"Washington, DC: Ronald Reagan Washington National"
1,"Chicago, IL: Chicago O'Hare International"
2,"Austin, TX: Austin - Bergstrom International"
3,"San Francisco, CA: San Francisco International"
4,"New York, NY: John F. Kennedy International"
5,"Los Angeles, CA: Los Angeles International"
6,"Las Vegas, NV: McCarran International"
7,"Washington, DC: Washington Dulles International"
8,"Newark, NJ: Newark Liberty International"
9,"Orlando, FL: Orlando International"
10,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
11,"Boston, MA: Logan International"
12,"Kahului, HI: Kahului Airport"
13,"Honolulu, HI: Daniel K Inouye International"
14,"Palm Springs, CA: Palm Springs International"
15,"New York, NY: LaGuardia"
16,"Dallas, TX: Dallas Love Field"
17,"Seattle, WA: Seattle/Tacoma International"
18,"Portland, OR: Portland International"
19,"San Diego, CA: San Diego International"
20,"Denver, CO: Denver International"
