,0
0,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
1,"Dallas, TX: Dallas Love Field"
2,"Denver, CO: Denver International"
3,"Houston, TX: William P Hobby"
4,"Las Vegas, NV: McCarran International"
5,"Los Angeles, CA: Los Angeles International"
6,"Kansas City, MO: Kansas City International"
7,"Chicago, IL: Chicago Midway International"
8,"Oakland, CA: Metropolitan Oakland International"
9,"Portland, OR: Portland International"
10,"Phoenix, AZ: Phoenix Sky Harbor International"
11,"San Diego, CA: San Diego International"
12,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
13,"Orlando, FL: Orlando International"
14,"Tampa, FL: Tampa International"
15,"Austin, TX: Austin - Bergstrom International"
16,"Boston, MA: Logan International"
17,"Akron, OH: Akron-Canton Regional"
18,"Columbus, OH: John Glenn Columbus International"
19,"Washington, DC: Ronald Reagan Washington National"
20,"Detroit, MI: Detroit Metro Wayne County"
21,"Indianapolis, IN: Indianapolis International"
22,"Jacksonville, FL: Jacksonville International"
23,"New York, NY: LaGuardia"
24,"Milwaukee, WI: General Mitchell International"
25,"Minneapolis, MN: Minneapolis-St Paul International"
26,"New Orleans, LA: Louis Armstrong New Orleans International"
27,"Oklahoma City, OK: Will Rogers World"
28,"West Palm Beach/Palm Beach, FL: Palm Beach International"
29,"Philadelphia, PA: Philadelphia International"
30,"Pittsburgh, PA: Pittsburgh International"
31,"Raleigh/Durham, NC: Raleigh-Durham International"
32,"Richmond, VA: Richmond International"
33,"Fort Myers, FL: Southwest Florida International"
34,"San Antonio, TX: San Antonio International"
35,"St. Louis, MO: St Louis Lambert International"
36,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
37,"Nashville, TN: Nashville International"
38,"El Paso, TX: El Paso International"
39,"Newark, NJ: Newark Liberty International"
40,"Lubbock, TX: Lubbock Preston Smith International"
41,"Seattle, WA: Seattle/Tacoma International"
42,"San Jose, CA: Norman Y. Mineta San Jose International"
43,"Santa Ana, CA: John Wayne Airport-Orange County"
44,"Charleston, SC: Charleston AFB/International"
45,"Cleveland, OH: Cleveland-Hopkins International"
46,"Panama City, FL: Northwest Florida Beaches International"
47,"Sacramento, CA: Sacramento International"
48,"Albuquerque, NM: Albuquerque International Sunport"
49,"Albany, NY: Albany International"
50,"Hartford, CT: Bradley International"
51,"Birmingham, AL: Birmingham-Shuttlesworth International"
52,"Buffalo, NY: Buffalo Niagara International"
53,"Charlotte, NC: Charlotte Douglas International"
54,"Dayton, OH: James M Cox/Dayton International"
55,"Flint, MI: Bishop International"
56,"Grand Rapids, MI: Gerald R. Ford International"
57,"Greer, SC: Greenville-Spartanburg International"
58,"Islip, NY: Long Island MacArthur"
59,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field"
60,"Memphis, TN: Memphis International"
61,"Manchester, NH: Manchester-Boston Regional"
62,"Norfolk, VA: Norfolk International"
63,"Providence, RI: Theodore Francis Green State"
64,"Portland, ME: Portland International Jetport"
65,"Rochester, NY: Greater Rochester International"
66,"Louisville, KY: Louisville International-Standiford Field"
67,"San Juan, PR: Luis Munoz Marin International"
68,"Salt Lake City, UT: Salt Lake City International"
69,"Amarillo, TX: Rick Husband Amarillo International"
70,"Wichita, KS: Wichita Dwight D Eisenhower National"
71,"Midland/Odessa, TX: Midland International Air and Space Port"
72,"Omaha, NE: Eppley Airfield"
73,"San Francisco, CA: San Francisco International"
74,"Tulsa, OK: Tulsa International"
75,"Boise, ID: Boise Air Terminal"
76,"Burbank, CA: Bob Hope"
77,"Spokane, WA: Spokane International"
78,"Washington, DC: Washington Dulles International"
79,"Ontario, CA: Ontario International"
80,"Reno, NV: Reno/Tahoe International"
81,"Tucson, AZ: Tucson International"
82,"Corpus Christi, TX: Corpus Christi International"
83,"Harlingen/San Benito, TX: Valley International"
84,"Pensacola, FL: Pensacola International"
85,"Des Moines, IA: Des Moines International"
86,"Long Beach, CA: Long Beach Airport"
