,0
0,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
1,"Detroit, MI: Detroit Metro Wayne County"
2,"Seattle, WA: Seattle/Tacoma International"
3,"New York, NY: John F. Kennedy International"
4,"San Jose, CA: Norman Y. Mineta San Jose International"
5,"Chicago, IL: Chicago O'Hare International"
6,"Phoenix, AZ: Phoenix Sky Harbor International"
7,"St. Louis, MO: St Louis Lambert International"
8,"Los Angeles, CA: Los Angeles International"
9,"Orlando, FL: Orlando International"
10,"Denver, CO: Denver International"
11,"Miami, FL: Miami International"
12,"Kona, HI: Ellison Onizuka Kona International at Keahole"
13,"Houston, TX: George Bush Intercontinental/Houston"
14,"Austin, TX: Austin - Bergstrom International"
15,"Las Vegas, NV: McCarran International"
16,"Salt Lake City, UT: Salt Lake City International"
17,"Tucson, AZ: Tucson International"
18,"Charlotte Amalie, VI: Cyril E King"
19,"Boston, MA: Logan International"
20,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
21,"San Francisco, CA: San Francisco International"
22,"Kahului, HI: Kahului Airport"
23,"Tampa, FL: Tampa International"
24,"Santa Ana, CA: John Wayne Airport-Orange County"
25,"Oklahoma City, OK: Will Rogers World"
26,"Honolulu, HI: Daniel K Inouye International"
27,"Philadelphia, PA: Philadelphia International"
28,"New York, NY: LaGuardia"
29,"Raleigh/Durham, NC: Raleigh-Durham International"
30,"Washington, DC: Ronald Reagan Washington National"
31,"Richmond, VA: Richmond International"
32,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
33,"Lubbock, TX: Lubbock Preston Smith International"
34,"Charlotte, NC: Charlotte Douglas International"
35,"El Paso, TX: El Paso International"
36,"San Diego, CA: San Diego International"
37,"Nashville, TN: Nashville International"
38,"Jackson, WY: Jackson Hole"
39,"Sacramento, CA: Sacramento International"
40,"Newark, NJ: Newark Liberty International"
41,"Washington, DC: Washington Dulles International"
42,"Lihue, HI: Lihue Airport"
43,"San Juan, PR: Luis Munoz Marin International"
44,"Albuquerque, NM: Albuquerque International Sunport"
45,"Norfolk, VA: Norfolk International"
46,"Jacksonville, FL: Jacksonville International"
47,"New Orleans, LA: Louis Armstrong New Orleans International"
48,"San Antonio, TX: San Antonio International"
49,"Kansas City, MO: Kansas City International"
50,"Gunnison, CO: Gunnison-Crested Butte Regional"
51,"Indianapolis, IN: Indianapolis International"
52,"Portland, OR: Portland International"
53,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
54,"Minneapolis, MN: Minneapolis-St Paul International"
55,"Milwaukee, WI: General Mitchell International"
56,"Tulsa, OK: Tulsa International"
57,"Ontario, CA: Ontario International"
58,"Fort Myers, FL: Southwest Florida International"
59,"Reno, NV: Reno/Tahoe International"
60,"Des Moines, IA: Des Moines International"
61,"Mission/McAllen/Edinburg, TX: McAllen Miller International"
62,"Palm Springs, CA: Palm Springs International"
63,"Omaha, NE: Eppley Airfield"
64,"Eagle, CO: Eagle County Regional"
65,"West Palm Beach/Palm Beach, FL: Palm Beach International"
66,"Louisville, KY: Louisville International-Standiford Field"
67,"Pittsburgh, PA: Pittsburgh International"
68,"Fresno, CA: Fresno Yosemite International"
69,"Dayton, OH: James M Cox/Dayton International"
70,"Christiansted, VI: Henry E. Rohlsen"
71,"Colorado Springs, CO: City of Colorado Springs Municipal"
72,"Columbus, OH: John Glenn Columbus International"
73,"Montrose/Delta, CO: Montrose Regional"
74,"Hayden, CO: Yampa Valley"
75,"Hartford, CT: Bradley International"
76,"Memphis, TN: Memphis International"
77,"Cleveland, OH: Cleveland-Hopkins International"
78,"Houston, TX: William P Hobby"
79,"Boise, ID: Boise Air Terminal"
80,"Oakland, CA: Metropolitan Oakland International"
81,"Spokane, WA: Spokane International"
82,"Anchorage, AK: Ted Stevens Anchorage International"
83,"Buffalo, NY: Buffalo Niagara International"
84,"Syracuse, NY: Syracuse Hancock International"
85,"Albany, NY: Albany International"
86,"Providence, RI: Theodore Francis Green State"
87,"Rochester, NY: Greater Rochester International"
88,"Wilmington, NC: Wilmington International"
89,"Wichita, KS: Wichita Dwight D Eisenhower National"
90,"Greensboro/High Point, NC: Piedmont Triad International"
91,"Charleston, SC: Charleston AFB/International"
92,"Portland, ME: Portland International Jetport"
93,"Harrisburg, PA: Harrisburg International"
94,"Birmingham, AL: Birmingham-Shuttlesworth International"
95,"Savannah, GA: Savannah/Hilton Head International"
96,"Daytona Beach, FL: Daytona Beach International"
97,"Fayetteville, AR: Northwest Arkansas Regional"
98,"Amarillo, TX: Rick Husband Amarillo International"
99,"Pensacola, FL: Pensacola International"
100,"Corpus Christi, TX: Corpus Christi International"
