,0
0,"Portland, OR: Portland International"
1,"Kahului, HI: Kahului Airport"
2,"Sacramento, CA: Sacramento International"
3,"Seattle, WA: Seattle/Tacoma International"
4,"Kona, HI: Ellison Onizuka Kona International at Keahole"
5,"San Diego, CA: San Diego International"
6,"Lihue, HI: Lihue Airport"
7,"Honolulu, HI: Daniel K Inouye International"
8,"San Jose, CA: Norman Y. Mineta San Jose International"
9,"Oakland, CA: Metropolitan Oakland International"
10,"Anchorage, AK: Ted Stevens Anchorage International"
11,"Washington, DC: Ronald Reagan Washington National"
12,"Los Angeles, CA: Los Angeles International"
13,"New York, NY: John F. Kennedy International"
14,"Orlando, FL: Orlando International"
15,"Boston, MA: Logan International"
16,"Newark, NJ: Newark Liberty International"
17,"Chicago, IL: Chicago O'Hare International"
18,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
19,"Minneapolis, MN: Minneapolis-St Paul International"
20,"Kodiak, AK: Kodiak Airport"
21,"Bethel, AK: Bethel Airport"
22,"Barrow, AK: Wiley Post/Will Rogers Memorial"
23,"Deadhorse, AK: Deadhorse Airport"
24,"Fairbanks, AK: Fairbanks International"
25,"Juneau, AK: Juneau International"
26,"Ketchikan, AK: Ketchikan International"
27,"Yakutat, AK: Yakutat Airport"
28,"Cordova, AK: Merle K Mudhole Smith"
29,"Sitka, AK: Sitka Rocky Gutierrez"
30,"Petersburg, AK: Petersburg James A Johnson"
31,"Wrangell, AK: Wrangell Airport"
32,"Nome, AK: Nome Airport"
33,"Kotzebue, AK: Ralph Wien Memorial"
34,"San Francisco, CA: San Francisco International"
35,"Palm Springs, CA: Palm Springs International"
36,"Salt Lake City, UT: Salt Lake City International"
37,"Ontario, CA: Ontario International"
38,"Santa Ana, CA: John Wayne Airport-Orange County"
39,"Burbank, CA: Bob Hope"
40,"Bellingham, WA: Bellingham International"
41,"Las Vegas, NV: McCarran International"
42,"Phoenix, AZ: Phoenix Sky Harbor International"
43,"Tucson, AZ: Tucson International"
44,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
45,"Philadelphia, PA: Philadelphia International"
46,"San Antonio, TX: San Antonio International"
47,"Denver, CO: Denver International"
48,"Austin, TX: Austin - Bergstrom International"
49,"Spokane, WA: Spokane International"
50,"Washington, DC: Washington Dulles International"
51,"Nashville, TN: Nashville International"
52,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
53,"St. Louis, MO: St Louis Lambert International"
54,"Raleigh/Durham, NC: Raleigh-Durham International"
55,"Houston, TX: George Bush Intercontinental/Houston"
56,"Charleston, SC: Charleston AFB/International"
57,"Kansas City, MO: Kansas City International"
58,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
59,"Albuquerque, NM: Albuquerque International Sunport"
60,"Tampa, FL: Tampa International"
61,"New Orleans, LA: Louis Armstrong New Orleans International"
62,"Detroit, MI: Detroit Metro Wayne County"
63,"Adak Island, AK: Adak"
64,"Gustavus, AK: Gustavus Airport"
65,"King Salmon, AK: King Salmon Airport"
66,"Dillingham, AK: Dillingham Airport"
67,"Omaha, NE: Eppley Airfield"
