,0
0,"Newburgh/Poughkeepsie, NY: Stewart International"
1,"Long Beach, CA: Long Beach Airport"
2,"Boston, MA: Logan International"
3,"Orlando, FL: Orlando International"
4,"New York, NY: John F. Kennedy International"
5,"West Palm Beach/Palm Beach, FL: Palm Beach International"
6,"Washington, DC: Washington Dulles International"
7,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
8,"San Juan, PR: Luis Munoz Marin International"
9,"Fort Myers, FL: Southwest Florida International"
10,"San Jose, CA: Norman Y. Mineta San Jose International"
11,"Providence, RI: Theodore Francis Green State"
12,"Washington, DC: Ronald Reagan Washington National"
13,"Los Angeles, CA: Los Angeles International"
14,"Denver, CO: Denver International"
15,"Seattle, WA: Seattle/Tacoma International"
16,"New York, NY: LaGuardia"
17,"Austin, TX: Austin - Bergstrom International"
18,"Newark, NJ: Newark Liberty International"
19,"Salt Lake City, UT: Salt Lake City International"
20,"Hartford, CT: Bradley International"
21,"San Francisco, CA: San Francisco International"
22,"Tampa, FL: Tampa International"
23,"Houston, TX: William P Hobby"
24,"Phoenix, AZ: Phoenix Sky Harbor International"
25,"San Diego, CA: San Diego International"
26,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
27,"Cleveland, OH: Cleveland-Hopkins International"
28,"Syracuse, NY: Syracuse Hancock International"
29,"Ponce, PR: Mercedita"
30,"Jacksonville, FL: Jacksonville International"
31,"Aguadilla, PR: Rafael Hernandez"
32,"Las Vegas, NV: McCarran International"
33,"Philadelphia, PA: Philadelphia International"
34,"New Orleans, LA: Louis Armstrong New Orleans International"
35,"Charlotte Amalie, VI: Cyril E King"
36,"White Plains, NY: Westchester County"
37,"Buffalo, NY: Buffalo Niagara International"
38,"Savannah, GA: Savannah/Hilton Head International"
39,"Charleston, SC: Charleston AFB/International"
40,"Raleigh/Durham, NC: Raleigh-Durham International"
41,"Sarasota/Bradenton, FL: Sarasota/Bradenton International"
42,"Chicago, IL: Chicago O'Hare International"
43,"Charlotte, NC: Charlotte Douglas International"
44,"Portland, OR: Portland International"
45,"Richmond, VA: Richmond International"
46,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
47,"Pittsburgh, PA: Pittsburgh International"
48,"Detroit, MI: Detroit Metro Wayne County"
49,"Rochester, NY: Greater Rochester International"
50,"Burlington, VT: Burlington International"
51,"Worcester, MA: Worcester Regional"
52,"Portland, ME: Portland International Jetport"
53,"Reno, NV: Reno/Tahoe International"
54,"Albany, NY: Albany International"
55,"Albuquerque, NM: Albuquerque International Sunport"
56,"Oakland, CA: Metropolitan Oakland International"
57,"Sacramento, CA: Sacramento International"
58,"Burbank, CA: Bob Hope"
59,"Christiansted, VI: Henry E. Rohlsen"
60,"Daytona Beach, FL: Daytona Beach International"
61,"Palm Springs, CA: Palm Springs International"
62,"Nashville, TN: Nashville International"
63,"Anchorage, AK: Ted Stevens Anchorage International"
64,"Nantucket, MA: Nantucket Memorial"
65,"Martha's Vineyard, MA: Martha's Vineyard Airport"
66,"Hyannis, MA: Barnstable Municipal-Boardman/Polando Field"
