,0
0,"Minneapolis, MN: Minneapolis-St Paul International"
1,"New Orleans, LA: Louis Armstrong New Orleans International"
2,"Fort Myers, FL: Southwest Florida International"
3,"Los Angeles, CA: Los Angeles International"
4,"Boston, MA: Logan International"
5,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
6,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
7,"Orlando, FL: Orlando International"
8,"Philadelphia, PA: Philadelphia International"
9,"Seattle, WA: Seattle/Tacoma International"
10,"El Paso, TX: El Paso International"
11,"Phoenix, AZ: Phoenix Sky Harbor International"
12,"Anchorage, AK: Ted Stevens Anchorage International"
13,"Bismarck/Mandan, ND: Bismarck Municipal"
14,"Houston, TX: George Bush Intercontinental/Houston"
15,"Detroit, MI: Detroit Metro Wayne County"
16,"Washington, DC: Ronald Reagan Washington National"
17,"Norfolk, VA: Norfolk International"
18,"Honolulu, HI: Daniel K Inouye International"
19,"Miami, FL: Miami International"
20,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
21,"Asheville, NC: Asheville Regional"
22,"West Palm Beach/Palm Beach, FL: Palm Beach International"
23,"New York, NY: LaGuardia"
24,"Charlotte, NC: Charlotte Douglas International"
25,"San Francisco, CA: San Francisco International"
26,"Tucson, AZ: Tucson International"
27,"Portland, OR: Portland International"
28,"Charlotte Amalie, VI: Cyril E King"
29,"Las Vegas, NV: McCarran International"
30,"Grand Rapids, MI: Gerald R. Ford International"
31,"Kansas City, MO: Kansas City International"
32,"Flint, MI: Bishop International"
33,"Myrtle Beach, SC: Myrtle Beach International"
34,"Birmingham, AL: Birmingham-Shuttlesworth International"
35,"San Juan, PR: Luis Munoz Marin International"
36,"Omaha, NE: Eppley Airfield"
37,"Denver, CO: Denver International"
38,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International"
39,"Tampa, FL: Tampa International"
40,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
41,"Billings, MT: Billings Logan International"
42,"San Diego, CA: San Diego International"
43,"Jacksonville, FL: Jacksonville International"
44,"Fargo, ND: Hector International"
45,"Chicago, IL: Chicago O'Hare International"
46,"Salt Lake City, UT: Salt Lake City International"
47,"Milwaukee, WI: General Mitchell International"
48,"Hartford, CT: Bradley International"
49,"Nashville, TN: Nashville International"
50,"Raleigh/Durham, NC: Raleigh-Durham International"
51,"Pensacola, FL: Pensacola International"
52,"Oakland, CA: Metropolitan Oakland International"
53,"Augusta, GA: Augusta Regional at Bush Field"
54,"Greer, SC: Greenville-Spartanburg International"
55,"Lexington, KY: Blue Grass"
56,"Sacramento, CA: Sacramento International"
57,"Dallas, TX: Dallas Love Field"
58,"Santa Ana, CA: John Wayne Airport-Orange County"
59,"St. Louis, MO: St Louis Lambert International"
60,"Appleton, WI: Appleton International"
61,"Austin, TX: Austin - Bergstrom International"
62,"Providence, RI: Theodore Francis Green State"
63,"Colorado Springs, CO: City of Colorado Springs Municipal"
64,"Albuquerque, NM: Albuquerque International Sunport"
65,"Kona, HI: Ellison Onizuka Kona International at Keahole"
66,"Rochester, NY: Greater Rochester International"
67,"San Antonio, TX: San Antonio International"
68,"Newark, NJ: Newark Liberty International"
69,"New York, NY: John F. Kennedy International"
70,"Gulfport/Biloxi, MS: Gulfport-Biloxi International"
71,"Memphis, TN: Memphis International"
72,"Louisville, KY: Louisville International-Standiford Field"
73,"Melbourne, FL: Melbourne International"
74,"Bozeman, MT: Bozeman Yellowstone International"
75,"Kahului, HI: Kahului Airport"
76,"Juneau, AK: Juneau International"
77,"Greensboro/High Point, NC: Piedmont Triad International"
78,"Eagle, CO: Eagle County Regional"
79,"Albany, NY: Albany International"
80,"Pittsburgh, PA: Pittsburgh International"
81,"Sarasota/Bradenton, FL: Sarasota/Bradenton International"
82,"Houston, TX: William P Hobby"
83,"Akron, OH: Akron-Canton Regional"
84,"Daytona Beach, FL: Daytona Beach International"
85,"Richmond, VA: Richmond International"
86,"Charlottesville, VA: Charlottesville Albemarle"
87,"Columbus, OH: John Glenn Columbus International"
88,"Madison, WI: Dane County Regional-Truax Field"
89,"Key West, FL: Key West International"
90,"Wichita, KS: Wichita Dwight D Eisenhower National"
91,"Indianapolis, IN: Indianapolis International"
92,"Washington, DC: Washington Dulles International"
93,"Oklahoma City, OK: Will Rogers World"
94,"Bristol/Johnson City/Kingsport, TN: Tri Cities"
95,"Lafayette, LA: Lafayette Regional Paul Fournet Field"
96,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field"
97,"Panama City, FL: Northwest Florida Beaches International"
98,"Savannah, GA: Savannah/Hilton Head International"
99,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach"
100,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
101,"Charleston, SC: Charleston AFB/International"
102,"Evansville, IN: Evansville Regional"
103,"Montrose/Delta, CO: Montrose Regional"
104,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International"
105,"Syracuse, NY: Syracuse Hancock International"
106,"Christiansted, VI: Henry E. Rohlsen"
107,"Chicago, IL: Chicago Midway International"
108,"Reno, NV: Reno/Tahoe International"
109,"Huntsville, AL: Huntsville International-Carl T Jones Field"
110,"Spokane, WA: Spokane International"
111,"Buffalo, NY: Buffalo Niagara International"
112,"Dayton, OH: James M Cox/Dayton International"
113,"Wilmington, NC: Wilmington International"
114,"Boise, ID: Boise Air Terminal"
115,"Jackson, WY: Jackson Hole"
116,"Fayetteville, NC: Fayetteville Regional/Grannis Field"
117,"Portland, ME: Portland International Jetport"
118,"Cleveland, OH: Cleveland-Hopkins International"
119,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field"
120,"San Jose, CA: Norman Y. Mineta San Jose International"
121,"Knoxville, TN: McGhee Tyson"
122,"Lihue, HI: Lihue Airport"
123,"Tallahassee, FL: Tallahassee International"
124,"Missoula, MT: Missoula International"
125,"Ontario, CA: Ontario International"
126,"Chattanooga, TN: Lovell Field"
127,"Mobile, AL: Mobile Regional"
128,"Newport News/Williamsburg, VA: Newport News/Williamsburg International"
129,"Columbia, SC: Columbia Metropolitan"
130,"Sioux Falls, SD: Joe Foss Field"
131,"Tulsa, OK: Tulsa International"
132,"Harrisburg, PA: Harrisburg International"
133,"Hayden, CO: Yampa Valley"
134,"Fayetteville, AR: Northwest Arkansas Regional"
135,"Des Moines, IA: Des Moines International"
