,0
0,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
1,"Columbia, SC: Columbia Metropolitan"
2,"Gulfport/Biloxi, MS: Gulfport-Biloxi International"
3,"Huntsville, AL: Huntsville International-Carl T Jones Field"
4,"Waco, TX: Waco Regional"
5,"Monroe, LA: Monroe Regional"
6,"Killeen, TX: Robert Gray AAF"
7,"Shreveport, LA: Shreveport Regional"
8,"Fort Smith, AR: Fort Smith Regional"
9,"Midland/Odessa, TX: Midland International Air and Space Port"
10,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach"
11,"Santa Fe, NM: Santa Fe Municipal"
12,"Joplin, MO: Joplin Regional"
13,"Chicago, IL: Chicago O'Hare International"
14,"Tulsa, OK: Tulsa International"
15,"Knoxville, TN: McGhee Tyson"
16,"Laredo, TX: Laredo International"
17,"Brownsville, TX: Brownsville South Padre Island International"
18,"Tyler, TX: Tyler Pounds Regional"
19,"Chattanooga, TN: Lovell Field"
20,"Cleveland, OH: Cleveland-Hopkins International"
21,"Houston, TX: George Bush Intercontinental/Houston"
22,"Rochester, NY: Greater Rochester International"
23,"Kansas City, MO: Kansas City International"
24,"New York, NY: LaGuardia"
25,"Albuquerque, NM: Albuquerque International Sunport"
26,"White Plains, NY: Westchester County"
27,"Burlington, VT: Burlington International"
28,"Newark, NJ: Newark Liberty International"
29,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
30,"Greer, SC: Greenville-Spartanburg International"
31,"Madison, WI: Dane County Regional-Truax Field"
32,"Columbus, OH: John Glenn Columbus International"
33,"Jacksonville, FL: Jacksonville International"
34,"Louisville, KY: Louisville International-Standiford Field"
35,"Green Bay, WI: Green Bay Austin Straubel International"
36,"Lansing, MI: Capital Region International"
37,"Buffalo, NY: Buffalo Niagara International"
38,"Peoria, IL: General Downing - Peoria International"
39,"Washington, DC: Ronald Reagan Washington National"
40,"St. Louis, MO: St Louis Lambert International"
41,"Charlotte, NC: Charlotte Douglas International"
42,"Fargo, ND: Hector International"
43,"Greensboro/High Point, NC: Piedmont Triad International"
44,"Mobile, AL: Mobile Regional"
45,"Oklahoma City, OK: Will Rogers World"
46,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field"
47,"Meridian, MS: Key Field"
48,"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional"
49,"Wichita, KS: Wichita Dwight D Eisenhower National"
50,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field"
51,"Beaumont/Port Arthur, TX: Jack Brooks Regional"
52,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional"
53,"Lafayette, LA: Lafayette Regional Paul Fournet Field"
54,"Alexandria, LA: Alexandria International"
55,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International"
56,"Springfield, IL: Abraham Lincoln Capital"
57,"Texarkana, AR: Texarkana Regional-Webb Field"
58,"Houston, TX: William P Hobby"
59,"Roswell, NM: Roswell International Air Center"
60,"Pensacola, FL: Pensacola International"
61,"Lubbock, TX: Lubbock Preston Smith International"
62,"Tallahassee, FL: Tallahassee International"
63,"Tucson, AZ: Tucson International"
64,"Charleston, SC: Charleston AFB/International"
65,"Fayetteville, AR: Northwest Arkansas Regional"
66,"Nashville, TN: Nashville International"
67,"Detroit, MI: Detroit Metro Wayne County"
68,"Raleigh/Durham, NC: Raleigh-Durham International"
69,"Omaha, NE: Eppley Airfield"
70,"Moline, IL: Quad City International"
71,"Savannah, GA: Savannah/Hilton Head International"
72,"Traverse City, MI: Cherry Capital"
73,"Erie, PA: Erie International/Tom Ridge Field"
74,"Memphis, TN: Memphis International"
75,"New Orleans, LA: Louis Armstrong New Orleans International"
76,"Birmingham, AL: Birmingham-Shuttlesworth International"
77,"Milwaukee, WI: General Mitchell International"
78,"West Palm Beach/Palm Beach, FL: Palm Beach International"
79,"Indianapolis, IN: Indianapolis International"
80,"Portland, ME: Portland International Jetport"
81,"Hartford, CT: Bradley International"
82,"Grand Rapids, MI: Gerald R. Ford International"
83,"Mission/McAllen/Edinburg, TX: McAllen Miller International"
84,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field"
85,"Austin, TX: Austin - Bergstrom International"
86,"Albany, NY: Albany International"
87,"Lexington, KY: Blue Grass"
88,"Colorado Springs, CO: City of Colorado Springs Municipal"
89,"Cedar Rapids/Iowa City, IA: The Eastern Iowa"
90,"College Station/Bryan, TX: Easterwood Field"
91,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
92,"Des Moines, IA: Des Moines International"
93,"Dayton, OH: James M Cox/Dayton International"
94,"Hobbs, NM: Lea County Regional"
95,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
96,"Fort Myers, FL: Southwest Florida International"
97,"Lake Charles, LA: Lake Charles Regional"
98,"Kalamazoo, MI: Kalamazoo/Battle Creek International"
99,"Amarillo, TX: Rick Husband Amarillo International"
100,"Akron, OH: Akron-Canton Regional"
101,"Minneapolis, MN: Minneapolis-St Paul International"
102,"Boston, MA: Logan International"
103,"Pittsburgh, PA: Pittsburgh International"
104,"El Paso, TX: El Paso International"
105,"Norfolk, VA: Norfolk International"
106,"Flint, MI: Bishop International"
107,"Lincoln, NE: Lincoln Airport"
108,"Corpus Christi, TX: Corpus Christi International"
109,"Springfield, MO: Springfield-Branson National"
110,"Syracuse, NY: Syracuse Hancock International"
111,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International"
112,"Harrisburg, PA: Harrisburg International"
113,"Harlingen/San Benito, TX: Valley International"
114,"Richmond, VA: Richmond International"
115,"San Antonio, TX: San Antonio International"
116,"Panama City, FL: Northwest Florida Beaches International"
117,"Manchester, NH: Manchester-Boston Regional"
118,"Providence, RI: Theodore Francis Green State"
119,"Appleton, WI: Appleton International"
120,"South Bend, IN: South Bend International"
121,"Grand Junction, CO: Grand Junction Regional"
122,"Montrose/Delta, CO: Montrose Regional"
123,"Sioux Falls, SD: Joe Foss Field"
124,"Evansville, IN: Evansville Regional"
125,"Philadelphia, PA: Philadelphia International"
126,"Asheville, NC: Asheville Regional"
127,"Mosinee, WI: Central Wisconsin"
128,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
