,0
0,"Denver, CO: Denver International"
1,"West Palm Beach/Palm Beach, FL: Palm Beach International"
2,"Trenton, NJ: Trenton Mercer"
3,"Raleigh/Durham, NC: Raleigh-Durham International"
4,"Chicago, IL: Chicago O'Hare International"
5,"Orlando, FL: Orlando International"
6,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
7,"New Orleans, LA: Louis Armstrong New Orleans International"
8,"Houston, TX: George Bush Intercontinental/Houston"
9,"Minneapolis, MN: Minneapolis-St Paul International"
10,"San Francisco, CA: San Francisco International"
11,"Las Vegas, NV: McCarran International"
12,"Philadelphia, PA: Philadelphia International"
13,"Tampa, FL: Tampa International"
14,"Charlotte, NC: Charlotte Douglas International"
15,"Bismarck/Mandan, ND: Bismarck Municipal"
16,"Milwaukee, WI: General Mitchell International"
17,"Miami, FL: Miami International"
18,"Los Angeles, CA: Los Angeles International"
19,"Detroit, MI: Detroit Metro Wayne County"
20,"Fort Myers, FL: Southwest Florida International"
21,"Seattle, WA: Seattle/Tacoma International"
22,"New York, NY: LaGuardia"
23,"Phoenix, AZ: Phoenix Sky Harbor International"
24,"Washington, DC: Ronald Reagan Washington National"
25,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
26,"Salt Lake City, UT: Salt Lake City International"
27,"Portland, OR: Portland International"
28,"Santa Ana, CA: John Wayne Airport-Orange County"
29,"St. Louis, MO: St Louis Lambert International"
30,"Nashville, TN: Nashville International"
31,"Cleveland, OH: Cleveland-Hopkins International"
32,"Indianapolis, IN: Indianapolis International"
33,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
34,"Memphis, TN: Memphis International"
35,"Austin, TX: Austin - Bergstrom International"
36,"Washington, DC: Washington Dulles International"
37,"Bozeman, MT: Bozeman Yellowstone International"
38,"San Diego, CA: San Diego International"
39,"Kansas City, MO: Kansas City International"
40,"Greensboro/High Point, NC: Piedmont Triad International"
41,"Madison, WI: Dane County Regional-Truax Field"
42,"St. Augustine, FL: Northeast Florida Regional"
43,"Omaha, NE: Eppley Airfield"
44,"Des Moines, IA: Des Moines International"
45,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
46,"Knoxville, TN: McGhee Tyson"
47,"Sioux Falls, SD: Joe Foss Field"
48,"Cedar Rapids/Iowa City, IA: The Eastern Iowa"
49,"Colorado Springs, CO: City of Colorado Springs Municipal"
50,"Missoula, MT: Missoula International"
51,"San Antonio, TX: San Antonio International"
52,"Columbus, OH: John Glenn Columbus International"
53,"Pittsburgh, PA: Pittsburgh International"
54,"Punta Gorda, FL: Punta Gorda Airport"
