,0
0,"Myrtle Beach, SC: Myrtle Beach International"
1,"Chicago, IL: Chicago O'Hare International"
2,"Orlando, FL: Orlando International"
3,"Las Vegas, NV: McCarran International"
4,"Cleveland, OH: Cleveland-Hopkins International"
5,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
6,"San Diego, CA: San Diego International"
7,"Denver, CO: Denver International"
8,"Detroit, MI: Detroit Metro Wayne County"
9,"Houston, TX: George Bush Intercontinental/Houston"
10,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
11,"Kansas City, MO: Kansas City International"
12,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
13,"Fort Myers, FL: Southwest Florida International"
14,"Los Angeles, CA: Los Angeles International"
15,"Minneapolis, MN: Minneapolis-St Paul International"
16,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
17,"Phoenix, AZ: Phoenix Sky Harbor International"
18,"New York, NY: LaGuardia"
19,"Tampa, FL: Tampa International"
20,"Latrobe, PA: Arnold Palmer Regional"
21,"Oakland, CA: Metropolitan Oakland International"
22,"Philadelphia, PA: Philadelphia International"
23,"Atlantic City, NJ: Atlantic City International"
24,"Boston, MA: Logan International"
25,"New Orleans, LA: Louis Armstrong New Orleans International"
26,"Aguadilla, PR: Rafael Hernandez"
27,"West Palm Beach/Palm Beach, FL: Palm Beach International"
28,"Portland, OR: Portland International"
29,"Niagara Falls, NY: Niagara Falls International"
30,"San Juan, PR: Luis Munoz Marin International"
31,"Charlotte Amalie, VI: Cyril E King"
32,"Plattsburgh, NY: Plattsburgh International"
33,"Seattle, WA: Seattle/Tacoma International"
34,"Charleston/Dunbar, WV: Yeager"
35,"Newark, NJ: Newark Liberty International"
36,"Akron, OH: Akron-Canton Regional"
