,0
0,"Chicago, IL: Chicago O'Hare International"
1,"Wichita, KS: Wichita Dwight D Eisenhower National"
2,"Grand Junction, CO: Grand Junction Regional"
3,"Phoenix, AZ: Phoenix Sky Harbor International"
4,"Tucson, AZ: Tucson International"
5,"Salt Lake City, UT: Salt Lake City International"
6,"Yuma, AZ: Yuma MCAS/Yuma International"
7,"Las Vegas, NV: McCarran International"
8,"Omaha, NE: Eppley Airfield"
9,"Austin, TX: Austin - Bergstrom International"
10,"Spokane, WA: Spokane International"
11,"San Francisco, CA: San Francisco International"
12,"Denver, CO: Denver International"
13,"Duluth, MN: Duluth International"
14,"Houston, TX: George Bush Intercontinental/Houston"
15,"Minneapolis, MN: Minneapolis-St Paul International"
16,"St. Louis, MO: St Louis Lambert International"
17,"Milwaukee, WI: General Mitchell International"
18,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
19,"Green Bay, WI: Green Bay Austin Straubel International"
20,"Madison, WI: Dane County Regional-Truax Field"
21,"Des Moines, IA: Des Moines International"
22,"Detroit, MI: Detroit Metro Wayne County"
23,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
24,"Bismarck/Mandan, ND: Bismarck Municipal"
25,"Fargo, ND: Hector International"
26,"Lansing, MI: Capital Region International"
27,"Santa Barbara, CA: Santa Barbara Municipal"
28,"Aspen, CO: Aspen Pitkin County Sardy Field"
29,"Indianapolis, IN: Indianapolis International"
30,"Greer, SC: Greenville-Spartanburg International"
31,"Portland, OR: Portland International"
32,"Seattle, WA: Seattle/Tacoma International"
33,"Columbus, OH: John Glenn Columbus International"
34,"Los Angeles, CA: Los Angeles International"
35,"San Antonio, TX: San Antonio International"
36,"Hayden, CO: Yampa Valley"
37,"Fayetteville, AR: Northwest Arkansas Regional"
38,"Nashville, TN: Nashville International"
39,"Sacramento, CA: Sacramento International"
40,"Boise, ID: Boise Air Terminal"
41,"Grand Rapids, MI: Gerald R. Ford International"
42,"San Jose, CA: Norman Y. Mineta San Jose International"
43,"Durango, CO: Durango La Plata County"
44,"Montrose/Delta, CO: Montrose Regional"
45,"Tulsa, OK: Tulsa International"
46,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field"
47,"Washington, DC: Ronald Reagan Washington National"
48,"Idaho Falls, ID: Idaho Falls Regional"
49,"Missoula, MT: Missoula International"
50,"Rapid City, SD: Rapid City Regional"
51,"Kalispell, MT: Glacier Park International"
52,"Lincoln, NE: Lincoln Airport"
53,"Colorado Springs, CO: City of Colorado Springs Municipal"
54,"Amarillo, TX: Rick Husband Amarillo International"
55,"Bakersfield, CA: Meadows Field"
56,"New Orleans, LA: Louis Armstrong New Orleans International"
57,"Jackson, WY: Jackson Hole"
58,"Palm Springs, CA: Palm Springs International"
59,"Birmingham, AL: Birmingham-Shuttlesworth International"
60,"Moline, IL: Quad City International"
61,"Dayton, OH: James M Cox/Dayton International"
62,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
63,"La Crosse, WI: La Crosse Regional"
64,"Chicago, IL: Chicago Midway International"
65,"South Bend, IN: South Bend International"
66,"Oakland, CA: Metropolitan Oakland International"
67,"Pasco/Kennewick/Richland, WA: Tri Cities"
68,"Minot, ND: Minot International"
69,"Flagstaff, AZ: Flagstaff Pulliam"
70,"San Diego, CA: San Diego International"
71,"Williston, ND: Sloulin Field International"
72,"Grand Forks, ND: Grand Forks International"
73,"Great Falls, MT: Great Falls International"
74,"Fort Wayne, IN: Fort Wayne International"
75,"Shreveport, LA: Shreveport Regional"
76,"Sioux Falls, SD: Joe Foss Field"
77,"Monterey, CA: Monterey Regional"
78,"Bloomington/Normal, IL: Central Illinois Regional"
79,"Saginaw/Bay City/Midland, MI: MBS International"
80,"Albuquerque, NM: Albuquerque International Sunport"
81,"Oklahoma City, OK: Will Rogers World"
82,"Pittsburgh, PA: Pittsburgh International"
83,"Burbank, CA: Bob Hope"
84,"Santa Ana, CA: John Wayne Airport-Orange County"
85,"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial"
86,"Twin Falls, ID: Joslin Field - Magic Valley Regional"
87,"Springfield, MO: Springfield-Branson National"
88,"Casper, WY: Casper/Natrona County International"
89,"Billings, MT: Billings Logan International"
90,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field"
91,"Fresno, CA: Fresno Yosemite International"
92,"Washington, DC: Washington Dulles International"
93,"Corpus Christi, TX: Corpus Christi International"
94,"Lexington, KY: Blue Grass"
95,"Cedar Rapids/Iowa City, IA: The Eastern Iowa"
96,"Louisville, KY: Louisville International-Standiford Field"
97,"Peoria, IL: General Downing - Peoria International"
98,"Hartford, CT: Bradley International"
99,"Gunnison, CO: Gunnison-Crested Butte Regional"
100,"Raleigh/Durham, NC: Raleigh-Durham International"
101,"Cleveland, OH: Cleveland-Hopkins International"
102,"Kansas City, MO: Kansas City International"
103,"Bozeman, MT: Bozeman Yellowstone International"
104,"Lafayette, LA: Lafayette Regional Paul Fournet Field"
105,"Lubbock, TX: Lubbock Preston Smith International"
106,"Charlotte, NC: Charlotte Douglas International"
107,"San Luis Obispo, CA: San Luis County Regional"
108,"Rock Springs, WY: Rock Springs Sweetwater County"
109,"Hancock/Houghton, MI: Houghton County Memorial"
110,"Mammoth Lakes, CA: Mammoth Lakes Airport"
111,"Philadelphia, PA: Philadelphia International"
112,"El Paso, TX: El Paso International"
113,"New York, NY: LaGuardia"
114,"Pellston, MI: Pellston Regional Airport of Emmet County"
115,"Elko, NV: Elko Regional"
116,"Monroe, LA: Monroe Regional"
117,"Charleston, SC: Charleston AFB/International"
118,"Asheville, NC: Asheville Regional"
119,"Gillette, WY: Gillette Campbell County"
120,"Memphis, TN: Memphis International"
121,"Greensboro/High Point, NC: Piedmont Triad International"
122,"Knoxville, TN: McGhee Tyson"
123,"Charlottesville, VA: Charlottesville Albemarle"
124,"Kalamazoo, MI: Kalamazoo/Battle Creek International"
125,"Appleton, WI: Appleton International"
126,"Ontario, CA: Ontario International"
127,"Reno, NV: Reno/Tahoe International"
128,"Medford, OR: Rogue Valley International - Medford"
129,"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field"
130,"Syracuse, NY: Syracuse Hancock International"
131,"Eugene, OR: Mahlon Sweet Field"
132,"Long Beach, CA: Long Beach Airport"
133,"Akron, OH: Akron-Canton Regional"
134,"Traverse City, MI: Cherry Capital"
135,"Springfield, IL: Abraham Lincoln Capital"
136,"St. George, UT: St George Regional"
137,"Helena, MT: Helena Regional"
138,"Chattanooga, TN: Lovell Field"
139,"Bend/Redmond, OR: Roberts Field"
140,"Arcata/Eureka, CA: California Redwood Coast Humboldt County"
141,"Brownsville, TX: Brownsville South Padre Island International"
142,"Norfolk, VA: Norfolk International"
143,"Eau Claire, WI: Chippewa Valley Regional"
144,"Rochester, MN: Rochester International"
145,"Devils Lake, ND: Devils Lake Regional"
146,"Jamestown, ND: Jamestown Regional"
147,"Muskegon, MI: Muskegon County"
148,"Midland/Odessa, TX: Midland International Air and Space Port"
149,"Jacksonville, FL: Jacksonville International"
150,"Fort Myers, FL: Southwest Florida International"
151,"Miami, FL: Miami International"
152,"Hays, KS: Hays Regional"
153,"Paducah, KY: Barkley Regional"
154,"Boston, MA: Logan International"
155,"Providence, RI: Theodore Francis Green State"
156,"Mission/McAllen/Edinburg, TX: McAllen Miller International"
157,"Richmond, VA: Richmond International"
158,"Albany, NY: Albany International"
159,"Buffalo, NY: Buffalo Niagara International"
160,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach"
161,"Cody, WY: Yellowstone Regional"
162,"Aberdeen, SD: Aberdeen Regional"
163,"Ithaca/Cortland, NY: Ithaca Tompkins Regional"
164,"Alpena, MI: Alpena County Regional"
165,"Escanaba, MI: Delta County"
166,"Bemidji, MN: Bemidji Regional"
167,"Marquette, MI: Sawyer International"
