,0
0,"Houston, TX: George Bush Intercontinental/Houston"
1,"Chicago, IL: Chicago O'Hare International"
2,"Santa Ana, CA: John Wayne Airport-Orange County"
3,"Honolulu, HI: Daniel K Inouye International"
4,"Newark, NJ: Newark Liberty International"
5,"Washington, DC: Washington Dulles International"
6,"Guam, TT: Guam International"
7,"San Francisco, CA: San Francisco International"
8,"Boston, MA: Logan International"
9,"Hayden, CO: Yampa Valley"
10,"Denver, CO: Denver International"
11,"Pittsburgh, PA: Pittsburgh International"
12,"Orlando, FL: Orlando International"
13,"Minneapolis, MN: Minneapolis-St Paul International"
14,"Salt Lake City, UT: Salt Lake City International"
15,"Phoenix, AZ: Phoenix Sky Harbor International"
16,"Bozeman, MT: Bozeman Yellowstone International"
17,"San Diego, CA: San Diego International"
18,"Los Angeles, CA: Los Angeles International"
19,"Seattle, WA: Seattle/Tacoma International"
20,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
21,"Omaha, NE: Eppley Airfield"
22,"New Orleans, LA: Louis Armstrong New Orleans International"
23,"Cleveland, OH: Cleveland-Hopkins International"
24,"Charleston, SC: Charleston AFB/International"
25,"Detroit, MI: Detroit Metro Wayne County"
26,"West Palm Beach/Palm Beach, FL: Palm Beach International"
27,"Sacramento, CA: Sacramento International"
28,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
29,"Reno, NV: Reno/Tahoe International"
30,"Portland, OR: Portland International"
31,"Albany, NY: Albany International"
32,"New York, NY: LaGuardia"
33,"Las Vegas, NV: McCarran International"
34,"Kansas City, MO: Kansas City International"
35,"Austin, TX: Austin - Bergstrom International"
36,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
37,"Tulsa, OK: Tulsa International"
38,"San Juan, PR: Luis Munoz Marin International"
39,"Madison, WI: Dane County Regional-Truax Field"
40,"Palm Springs, CA: Palm Springs International"
41,"Tampa, FL: Tampa International"
42,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
43,"Jackson, WY: Jackson Hole"
44,"Columbus, OH: John Glenn Columbus International"
45,"Raleigh/Durham, NC: Raleigh-Durham International"
46,"Spokane, WA: Spokane International"
47,"Burlington, VT: Burlington International"
48,"Nashville, TN: Nashville International"
49,"Boise, ID: Boise Air Terminal"
50,"Miami, FL: Miami International"
51,"Anchorage, AK: Ted Stevens Anchorage International"
52,"Hartford, CT: Bradley International"
53,"Fort Myers, FL: Southwest Florida International"
54,"Lihue, HI: Lihue Airport"
55,"Aguadilla, PR: Rafael Hernandez"
56,"San Jose, CA: Norman Y. Mineta San Jose International"
57,"Kona, HI: Ellison Onizuka Kona International at Keahole"
58,"Norfolk, VA: Norfolk International"
59,"Sioux Falls, SD: Joe Foss Field"
60,"Kahului, HI: Kahului Airport"
61,"Charlotte Amalie, VI: Cyril E King"
62,"Des Moines, IA: Des Moines International"
63,"Washington, DC: Ronald Reagan Washington National"
64,"San Antonio, TX: San Antonio International"
65,"Sarasota/Bradenton, FL: Sarasota/Bradenton International"
66,"Philadelphia, PA: Philadelphia International"
67,"Eagle, CO: Eagle County Regional"
68,"Oklahoma City, OK: Will Rogers World"
69,"Indianapolis, IN: Indianapolis International"
70,"Grand Rapids, MI: Gerald R. Ford International"
71,"Memphis, TN: Memphis International"
72,"Billings, MT: Billings Logan International"
73,"Montrose/Delta, CO: Montrose Regional"
74,"Mission/McAllen/Edinburg, TX: McAllen Miller International"
75,"Albuquerque, NM: Albuquerque International Sunport"
76,"Charlotte, NC: Charlotte Douglas International"
77,"Wichita, KS: Wichita Dwight D Eisenhower National"
78,"Tucson, AZ: Tucson International"
79,"Rochester, NY: Greater Rochester International"
80,"Hilo, HI: Hilo International"
81,"Buffalo, NY: Buffalo Niagara International"
82,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field"
83,"St. Louis, MO: St Louis Lambert International"
84,"Richmond, VA: Richmond International"
85,"Gunnison, CO: Gunnison-Crested Butte Regional"
86,"Jacksonville, FL: Jacksonville International"
87,"Augusta, GA: Augusta Regional at Bush Field"
88,"Harrisburg, PA: Harrisburg International"
89,"Providence, RI: Theodore Francis Green State"
90,"Louisville, KY: Louisville International-Standiford Field"
91,"Fairbanks, AK: Fairbanks International"
92,"Eugene, OR: Mahlon Sweet Field"
93,"Savannah, GA: Savannah/Hilton Head International"
94,"Missoula, MT: Missoula International"
95,"Myrtle Beach, SC: Myrtle Beach International"
96,"Portland, ME: Portland International Jetport"
97,"Milwaukee, WI: General Mitchell International"
98,"Ontario, CA: Ontario International"
99,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
100,"Saipan, TT: Francisco C. Ada Saipan International"
