,0
0,"San Francisco, CA: San Francisco International"
1,"Austin, TX: Austin - Bergstrom International"
2,"New York, NY: John F. Kennedy International"
3,"Los Angeles, CA: Los Angeles International"
4,"Chicago, IL: Chicago O'Hare International"
5,"Las Vegas, NV: McCarran International"
6,"Newark, NJ: Newark Liberty International"
7,"Seattle, WA: Seattle/Tacoma International"
8,"Washington, DC: Ronald Reagan Washington National"
9,"Orlando, FL: Orlando International"
10,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
11,"Boston, MA: Logan International"
12,"Kahului, HI: Kahului Airport"
13,"Honolulu, HI: Daniel K Inouye International"
14,"Palm Springs, CA: Palm Springs International"
15,"Washington, DC: Washington Dulles International"
16,"Dallas, TX: Dallas Love Field"
17,"San Diego, CA: San Diego International"
18,"New York, NY: LaGuardia"
19,"Portland, OR: Portland International"
20,"Denver, CO: Denver International"
21,"Ontario, CA: Ontario International"
