,0
0,"Albuquerque, NM: Albuquerque International Sunport"
1,"Albany, NY: Albany International"
2,"Amarillo, TX: Rick Husband Amarillo International"
3,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
4,"Austin, TX: Austin - Bergstrom International"
5,"Hartford, CT: Bradley International"
6,"Birmingham, AL: Birmingham-Shuttlesworth International"
7,"Nashville, TN: Nashville International"
8,"Burbank, CA: Bob Hope"
9,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
10,"Akron, OH: Akron-Canton Regional"
11,"Charleston, SC: Charleston AFB/International"
12,"Cleveland, OH: Cleveland-Hopkins International"
13,"Charlotte, NC: Charlotte Douglas International"
14,"Columbus, OH: John Glenn Columbus International"
15,"Corpus Christi, TX: Corpus Christi International"
16,"Dallas, TX: Dallas Love Field"
17,"Dayton, OH: James M Cox/Dayton International"
18,"Washington, DC: Ronald Reagan Washington National"
19,"Denver, CO: Denver International"
20,"Des Moines, IA: Des Moines International"
21,"Detroit, MI: Detroit Metro Wayne County"
22,"Panama City, FL: Northwest Florida Beaches International"
23,"El Paso, TX: El Paso International"
24,"Newark, NJ: Newark Liberty International"
25,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
26,"Flint, MI: Bishop International"
27,"Spokane, WA: Spokane International"
28,"Grand Rapids, MI: Gerald R. Ford International"
29,"Greer, SC: Greenville-Spartanburg International"
30,"Houston, TX: William P Hobby"
31,"Harlingen/San Benito, TX: Valley International"
32,"Washington, DC: Washington Dulles International"
33,"Wichita, KS: Wichita Dwight D Eisenhower National"
34,"Indianapolis, IN: Indianapolis International"
35,"Islip, NY: Long Island MacArthur"
36,"Jacksonville, FL: Jacksonville International"
37,"Las Vegas, NV: McCarran International"
38,"Los Angeles, CA: Los Angeles International"
39,"San Diego, CA: San Diego International"
40,"San Antonio, TX: San Antonio International"
41,"Louisville, KY: Louisville International-Standiford Field"
42,"Seattle, WA: Seattle/Tacoma International"
43,"San Francisco, CA: San Francisco International"
44,"San Jose, CA: Norman Y. Mineta San Jose International"
45,"San Juan, PR: Luis Munoz Marin International"
46,"Salt Lake City, UT: Salt Lake City International"
47,"Sacramento, CA: Sacramento International"
48,"Santa Ana, CA: John Wayne Airport-Orange County"
49,"St. Louis, MO: St Louis Lambert International"
50,"Tampa, FL: Tampa International"
51,"Tulsa, OK: Tulsa International"
52,"Tucson, AZ: Tucson International"
53,"Lubbock, TX: Lubbock Preston Smith International"
54,"New York, NY: LaGuardia"
55,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field"
56,"Midland/Odessa, TX: Midland International Air and Space Port"
57,"Kansas City, MO: Kansas City International"
58,"Orlando, FL: Orlando International"
59,"Chicago, IL: Chicago Midway International"
60,"Memphis, TN: Memphis International"
61,"Manchester, NH: Manchester-Boston Regional"
62,"Milwaukee, WI: General Mitchell International"
63,"Minneapolis, MN: Minneapolis-St Paul International"
64,"New Orleans, LA: Louis Armstrong New Orleans International"
65,"Oakland, CA: Metropolitan Oakland International"
66,"Oklahoma City, OK: Will Rogers World"
67,"Omaha, NE: Eppley Airfield"
68,"Ontario, CA: Ontario International"
69,"Norfolk, VA: Norfolk International"
70,"West Palm Beach/Palm Beach, FL: Palm Beach International"
71,"Portland, OR: Portland International"
72,"Philadelphia, PA: Philadelphia International"
73,"Phoenix, AZ: Phoenix Sky Harbor International"
74,"Pittsburgh, PA: Pittsburgh International"
75,"Pensacola, FL: Pensacola International"
76,"Providence, RI: Theodore Francis Green State"
77,"Portland, ME: Portland International Jetport"
78,"Raleigh/Durham, NC: Raleigh-Durham International"
79,"Richmond, VA: Richmond International"
80,"Reno, NV: Reno/Tahoe International"
81,"Rochester, NY: Greater Rochester International"
82,"Fort Myers, FL: Southwest Florida International"
83,"Boise, ID: Boise Air Terminal"
84,"Boston, MA: Logan International"
85,"Buffalo, NY: Buffalo Niagara International"
86,"Long Beach, CA: Long Beach Airport"
