,COEFFICIENTS
0,1.240039969140033e-10
1,11.771125105541385
2,0.2668914102142023
3,-7.486938709021793
4,0.006398229089141444
5,0.021028059569489343
6,-0.06702506168528881
7,-0.015602110063182208
8,0.17518521298724085
9,-0.08441884191331157
10,-0.0010464206501695614
11,0.06399598710082875
12,-0.0009403205765045432
13,-0.000923407040720242
14,0.002166909315722609
15,-0.0014915443200576933
16,0.005573547667636553
17,0.01523017739700041
18,-0.027414428324209896
19,-1.0561209523515113e-05
20,-5.027690891871177e-05
21,8.750233106241877e-05
22,-0.0001530197447571615
23,-0.0005446980049264564
24,0.4854449846794494
25,0.00031570113552284326
26,0.0005623500307083618
27,-0.0004534218856646316
28,0.0011864400991048593
29,-0.004334008013353651
30,-1.359882336507185e-06
31,2.140179031675322e-06
32,2.1329241509092324e-06
33,4.027941928149765e-06
34,-1.7963274386247607e-05
35,-2.5746701474900025e-06
36,3.0750076753213404e-06
37,7.939848983869404e-07
38,-1.0524052712377289e-05
39,1.654792974562327e-05
40,-1.6221227394189076e-05
41,5.780304617656104e-05
42,1.8807713520078167e-05
43,-0.00010260473940266593
44,-7.848977147391807e-05
45,0.005996401671698092
46,-0.0007252733938743353
47,0.0008093626920858846
48,-3.2211337263023278e-06
49,1.8421032967799844e-06
50,-3.9865958759808e-05
51,-2.805923683315792e-06
52,-0.00018777757350034045
53,-0.00017806582526072741
54,0.002035331015591498
55,-1.5015358316230282e-07
56,1.2145112486797284e-06
57,3.534815533759268e-06
58,-1.4509492986571994e-06
59,-3.3852905474269623e-06
60,-0.00642822610393645
61,7.640286367845629e-07
62,-3.756201203624474e-06
63,-1.1892761047481962e-05
64,9.458935972430286e-06
65,-7.792118600383178e-05
66,3.809746388530208e-08
67,7.637756262467765e-09
68,-4.766253290748061e-08
69,1.8402030120052062e-08
70,-3.328484310186399e-07
71,2.910478209177536e-08
72,3.534035867301163e-08
73,-1.5719019088938843e-08
74,3.069534413422101e-07
75,-6.554828348206228e-07
76,8.939982318872125e-07
77,-1.914698700326338e-06
78,-2.5982675227488134e-07
79,1.5619183692313466e-06
80,-1.6085304845829179e-06
81,-0.00018398562955455574
82,-0.0003651403813215664
83,-1.9494923145232904e-07
84,-2.536146589065541e-07
85,-4.162707723891047e-07
86,7.044302195365289e-07
87,-9.651810368903181e-07
88,-0.0010477025780702201
89,1.0659066517139665e-06
90,9.105700444998651e-07
91,-1.4273214870454456e-06
92,-3.080865594506671e-06
93,6.078059009774794e-05
94,-2.2452864030560505e-10
95,1.8496658161203942e-09
96,-4.72935796791439e-09
97,1.0143956062758614e-08
98,-5.702356578730181e-08
99,9.370293902399256e-10
100,7.082375327059718e-10
101,-3.4914088829396254e-09
102,6.515952206530315e-08
103,-7.067759730365091e-09
104,-2.5376963693575357e-08
105,5.5828841468744845e-08
106,4.2457099737933465e-08
107,5.3588243567741135e-08
108,1.377685903726707e-07
109,-0.03244333960910623
110,-5.886473679891016e-06
111,-1.0311604047111058e-05
112,2.6164057362753587e-05
113,1.4543713311123399e-05
114,1.1772817589470103e-05
115,-6.4389630340672974e-09
116,-4.534432060933607e-09
117,-2.143049321626531e-08
118,-1.0637097310966725e-08
119,-5.106946383375252e-08
120,-1.2850047597545684e-08
121,-2.9292969041201634e-08
122,-1.4700673919651332e-08
123,-6.900803557709585e-08
124,5.544024838406663e-07
125,-6.757198895266441e-07
126,9.489351263602984e-07
127,1.7133593659841252e-07
128,-1.4727383495342876e-07
129,8.86158872274655e-06
130,3.450062979654708e-11
131,-2.96387581675091e-11
132,-4.91307405815531e-11
133,-1.2865537076291362e-10
134,1.3890202445287405e-09
135,-4.389979036830894e-11
136,5.787457392157846e-11
137,-1.2113479387052112e-10
138,-1.2389032221960438e-09
139,-2.7662383898065325e-10
140,-8.656143858823347e-11
141,-1.804161030854322e-09
142,5.401218846585317e-11
143,1.3806099428184482e-09
144,4.209532559232454e-09
145,7.211293060706213e-11
146,2.7248225492910344e-11
147,-8.580616018501155e-11
148,1.3715546515974397e-09
149,-1.9541123149052804e-09
150,1.747563987200033e-09
151,-4.671364048103617e-09
152,-2.3588636981378697e-10
153,-1.3172727270227143e-11
154,-3.396428407870307e-09
155,4.120520346445907e-09
156,-4.6453704021676763e-11
157,7.15611319159957e-09
158,-5.33207743293576e-09
159,1.896439156653385e-08
160,-4.32286000249842e-08
161,-1.9781371416697857e-09
162,1.5064680239154366e-08
163,-5.9834948861905335e-09
164,2.2482223045316717e-07
165,-134.2838899964122
