,COEFFICIENTS
0,-2.1257897976774985e-10
1,-0.6093850553911214
2,1.493671776948003
3,8.906738505018545
4,-0.1189351537301816
5,0.048602903585952706
6,0.018541154497715002
7,-0.00639668512315787
8,0.011251438568899484
9,-0.6140476311907328
10,-0.016554083743598715
11,0.10136411231897244
12,0.0018025531634341262
13,-0.0009357205911468712
14,0.0020374522952035247
15,-0.0017499319553377951
16,-0.007595980252371803
17,0.026738049577024702
18,-0.05552846533728024
19,-9.572978915364836e-06
20,-0.0002614680147320632
21,8.137283496024673e-05
22,0.00017658642096007857
23,0.000237017625874053
24,0.42136939155124886
25,-0.0009006247557210178
26,-0.0003803818134270914
27,-0.0018156089048780252
28,-0.00038452979137205723
29,-0.0020103060077821555
30,7.564925566142872e-06
31,2.6460226437598045e-06
32,-1.8634970318300404e-07
33,1.913721863856596e-06
34,-5.9901632628246406e-06
35,-4.1106964970737425e-06
36,-4.4005920944316854e-06
37,-1.1084903045432565e-06
38,1.956936721506359e-05
39,3.949074106076486e-07
40,-5.137686404908321e-05
41,0.0001928589831813176
42,5.747311756457451e-05
43,-0.00023979586537618944
44,-0.00030148548539906945
45,0.016787887662903928
46,-0.002964642108628627
47,-0.0013033667912793435
48,-1.889847015066979e-06
49,2.1435391892431193e-05
50,-4.30403412090043e-05
51,4.998051337123278e-05
52,0.00013969238865941717
53,-0.00030766527150643153
54,0.0010225091784822182
55,1.1291353163046787e-06
56,3.037015623854018e-06
57,-1.412484147931542e-07
58,-1.7085542610411794e-06
59,3.361056783201995e-05
60,-0.018148363699690424
61,5.445110481880748e-06
62,-2.8047404386832332e-06
63,2.1241121341665684e-05
64,-9.01230664223984e-06
65,9.928165655317362e-05
66,-5.6096601608608755e-08
67,-2.434578582540374e-08
68,7.646706737690473e-09
69,4.975923815160564e-10
70,-3.943905428468459e-07
71,3.269245014499277e-08
72,-9.870344505541984e-08
73,7.78018322981774e-08
74,5.636666888051023e-07
75,-1.3238563379755865e-07
76,4.81862494398195e-07
77,-5.054360347412957e-07
78,-5.046944653489264e-07
79,2.1791264346196995e-06
80,9.059160051344943e-07
81,-0.00013898817706857464
82,-5.7076520573878364e-05
83,-5.2257379489918154e-08
84,-1.4464101260590773e-06
85,-3.4876920245566937e-06
86,2.0588315285358603e-06
87,-3.3215768751995052e-06
88,-0.0009078720660120402
89,4.377537381102216e-06
90,2.5673193537145775e-07
91,-3.298863225205529e-06
92,-5.441755386825709e-06
93,3.207855950954456e-05
94,-1.4552126183808097e-09
95,3.601651046451074e-09
96,2.1101154549740644e-09
97,-1.7418621417562997e-08
98,-2.8226524089033267e-08
99,8.71919313638428e-09
100,1.5185403085749317e-08
101,-8.04385518716778e-09
102,1.6992423434238117e-08
103,-5.942749279947149e-08
104,1.3063421751342794e-08
105,8.522214247434924e-08
106,1.0984278989244388e-08
107,1.0693787038179153e-07
108,-1.213077064360996e-06
109,-0.032888335292750384
110,-4.799515018632855e-06
111,4.669916495463215e-06
112,6.833733940434181e-05
113,-2.9863479654937786e-05
114,-0.00020747043185876966
115,1.5663655635219987e-08
116,2.9680660320381256e-08
117,3.6270761830040164e-08
118,-5.235584900286714e-09
119,4.4878897432852753e-08
120,-4.069137767615617e-09
121,-9.116758410369009e-10
122,2.8121443703813916e-08
123,-1.755076590124624e-10
124,2.637173161898629e-07
125,1.7682447199562263e-07
126,-1.4000264294424828e-07
127,1.937136775201453e-08
128,4.590065844578405e-07
129,3.1788373353330537e-06
130,-1.6493989801119507e-10
131,-8.147933437057432e-11
132,5.4598074169866486e-11
133,2.479451438988977e-12
134,1.3221730780245947e-09
135,-1.3333323156467773e-11
136,5.527943450873892e-11
137,-6.157963638458065e-11
138,-1.9471173213095967e-09
139,4.5943381362999564e-11
140,1.1566856327190465e-09
141,-1.0719823966466258e-08
142,-1.9351241595076387e-09
143,1.0030733118261665e-08
144,5.4604165674976544e-09
145,8.922936270945352e-11
146,1.8495283067454334e-10
147,-1.5520138647493393e-11
148,4.875868693946247e-11
149,-4.943794527946446e-10
150,1.3411046424829634e-09
151,-3.0463930871646298e-09
152,-8.015027510093335e-10
153,7.868503813024384e-09
154,-1.4090818059129645e-08
155,8.84015684411211e-10
156,5.2520862364340145e-09
157,-1.449550267863219e-08
158,-4.632062989880727e-09
159,3.8171812623393094e-08
160,1.091136628601825e-08
161,-3.6401884908055064e-10
162,-3.007045631223619e-08
163,-2.3557098181881888e-08
164,5.401087192284798e-07
165,244.5897468780103
