,COEFFICIENTS
0,-2.3853905627725268e-11
1,6.051681752585573
2,-1.3602497290201683
3,-7.747305131301285
4,0.021940311007544584
5,0.02045433483252087
6,-0.022154208476280596
7,0.020311021898793316
8,0.2864481547294378
9,-0.3408641997090969
10,-0.0253432512790101
11,-0.12978073168336143
12,-0.00016420389225800262
13,-0.000297746892507215
14,0.00037484979240518125
15,0.0002122270252517257
16,-0.0036569644441170725
17,0.026023858062234773
18,-0.11666135773559339
19,0.00025476359548943036
20,-3.4667944898738916e-05
21,0.0005257810702516131
22,-0.0005569347332294653
23,0.00040037349541088493
24,0.4636771703256045
25,0.0005739732404932666
26,0.0007006980579120346
27,-0.0005816170053301084
28,0.000866197441556502
29,-0.012180902968189376
30,-1.4228380550083808e-06
31,-3.3690908961531247e-07
32,8.310637047618269e-06
33,-4.582678655766716e-06
34,-2.6711129203628552e-05
35,-8.455451208887203e-07
36,-2.116657097653073e-06
37,-4.1998260075261015e-06
38,5.188155892295283e-07
39,-1.1561525566505528e-05
40,-1.071316701171476e-05
41,-9.494148328485906e-05
42,3.460111595013246e-05
43,6.685736209007452e-05
44,-0.00028969461900442097
45,-8.44886424394708e-05
46,0.0009915870057728142
47,-0.006470059242371984
48,2.3459257337643657e-05
49,3.1048625473177986e-06
50,4.794133980914657e-06
51,-5.294213655950466e-06
52,0.00017562813885882826
53,-0.00010650588606879207
54,0.006164568357114701
55,-7.943760237096762e-07
56,6.326244385226351e-07
57,-6.8762661246410846e-06
58,3.853212141753079e-06
59,-1.1738106712050839e-05
60,-0.000858744995373494
61,1.1870875249395507e-05
62,-3.3698692469503953e-06
63,-6.756326546178889e-06
64,1.118988727559216e-05
65,3.216702287849816e-05
66,1.895798218298533e-09
67,-8.344008332639072e-09
68,-9.814905774148897e-09
69,-4.595262997874218e-08
70,-4.5690558213795445e-07
71,1.1721867218766245e-08
72,5.2165358036995996e-08
73,-4.214572547495728e-08
74,-9.923871073147288e-08
75,-4.519854970265152e-07
76,4.0669132177368325e-07
77,-3.0927970134746335e-07
78,-8.074444870986525e-09
79,4.4621759440834314e-07
80,2.1191171655774875e-05
81,-0.000454726822528825
82,0.0007275593686291632
83,-1.7588973345504397e-07
84,-2.808064989724298e-07
85,6.037440978197038e-07
86,-2.0932075349406058e-07
87,-9.051278194863008e-06
88,-0.0033772288820880154
89,6.130284924762757e-06
90,-1.0036043596932228e-06
91,3.921258138678443e-06
92,-1.5303151155900045e-05
93,5.8708298728278985e-05
94,-9.489521727003514e-09
95,-4.6107512829833913e-10
96,-2.5228738516176766e-08
97,1.3283680975033981e-08
98,7.2189097998724514e-09
99,1.2506458597971832e-09
100,3.669917802723421e-09
101,6.031068928897659e-09
102,-8.781704815910595e-10
103,-1.1462971648395416e-07
104,1.6539247064882037e-07
105,-1.768310110764726e-07
106,-1.2907257808419075e-09
107,1.2137617147453994e-07
108,-9.857719827364103e-08
109,-0.04866900606399491
110,1.1759344728793055e-05
111,-3.5709595054501596e-06
112,3.620033951917058e-05
113,-8.460751500059758e-06
114,7.803114695083147e-05
115,-3.270917573353285e-08
116,-3.2146163010143413e-09
117,-4.585338614334582e-09
118,-3.0087114206338707e-09
119,4.370923070484982e-07
120,-2.219008659676537e-08
121,-1.3881899714522756e-08
122,9.205781193385008e-09
123,-3.0834945556372287e-09
124,3.626437393568072e-07
125,-5.529306233426519e-07
126,7.942772270666648e-07
127,2.0286691166396372e-07
128,-1.504146800752877e-07
129,8.336794099970054e-06
130,2.8418385493996736e-11
131,6.667570990043477e-12
132,-2.212022736573531e-10
133,4.424698902089484e-11
134,2.730279387523515e-09
135,1.3479657147375282e-11
136,1.3970305323629993e-10
137,4.519444210952513e-11
138,-2.5774231131229124e-09
139,-1.5479221112388345e-09
140,1.6358836691919462e-09
141,-4.390452612877341e-09
142,-3.8461722890069364e-10
143,2.9213740560115714e-09
144,-1.8021113187364296e-08
145,2.038357889314941e-12
146,-6.145105019607519e-12
147,1.8281255421743497e-10
148,8.978136332502427e-10
149,1.4417042923854334e-10
150,5.587530536180474e-10
151,2.43772031808204e-10
152,-8.487561920500316e-10
153,-2.5221748863104454e-10
154,2.1308222048559273e-08
155,5.71838428085985e-09
156,-3.292647578550771e-09
157,5.172422557767361e-08
158,-2.161968976789667e-09
159,-1.2289144183627754e-08
160,5.763253570492861e-08
161,-2.321838539545933e-09
162,-2.00818347619284e-08
163,-5.940657762582934e-08
164,-3.53957886193039e-08
165,-234.62066457584407
