,COEFFICIENTS
0,1.5059271870269745e-10
1,-6.88561686084388
2,-1.0535626137308072
3,1.5698652702152418
4,-0.11295018494572902
5,-0.003637482595251059
6,-0.050669867848158655
7,-0.0007223137599013523
8,-0.35825369315207845
9,-0.05042905332799663
10,-0.006902727612422578
11,-0.09731054678835721
12,0.0008255266293188963
13,0.0002747426721868635
14,0.002056129701248558
15,-0.0020431407904958976
16,0.00843357651382017
17,0.026535965841915945
18,0.0485413347027454
19,-1.2548446324092545e-06
20,9.309157477576905e-05
21,-0.0001286827273349779
22,-4.889461760357093e-05
23,0.00031450039462285073
24,0.42311259429969517
25,-0.000379663642634379
26,-3.288030738911364e-05
27,-0.0004986251487692378
28,0.0003798849657781118
29,-0.0016793430261456926
30,7.951464548252041e-06
31,5.2098955541508e-07
32,6.142919082801279e-06
33,-4.233100951225189e-06
34,4.345308937396014e-05
35,-2.0969229853639486e-07
36,-1.0436867578133325e-06
37,7.325028776702816e-06
38,-5.700048858575635e-06
39,5.879567439690859e-06
40,-1.5053700844374508e-05
41,7.694076420265247e-05
42,1.0965766617993459e-05
43,-0.00011632698296051914
44,0.0005970755287602848
45,0.01590472104596735
46,0.0002564179839667545
47,-0.0046465872457497484
48,-3.7104534794520395e-07
49,-1.1425121681352131e-05
50,-7.178101726067968e-05
51,1.393031482448629e-05
52,-0.00014265847965044565
53,-0.000554521033572009
54,0.0013577551135554938
55,4.6103818352160104e-08
56,1.3824938627225715e-06
57,2.335452355779638e-06
58,1.21695035706115e-06
59,7.250322525952244e-06
60,0.013369660595851242
61,-1.9691454082881863e-06
62,1.9099684080781363e-06
63,7.899147507043276e-06
64,7.3490851596091214e-06
65,-3.90544086349754e-05
66,-3.37088829328e-08
67,7.192213890818843e-10
68,-5.199302782873554e-09
69,2.973321480241869e-08
70,-2.9753846685333026e-07
71,-8.094122057888475e-09
72,3.9744016560294434e-08
73,-3.967504724332407e-08
74,2.9858359555365073e-07
75,-7.733044888526885e-07
76,1.2932999814969072e-06
77,-2.313107036472047e-06
78,-4.5676824825863667e-07
79,2.2034003882219655e-06
80,-8.716202807876783e-06
81,-0.0001533968183232829
82,0.00041202710259787483
83,-7.157836667428371e-07
84,-1.058388045952332e-06
85,1.6023615000592843e-06
86,2.113803964567927e-06
87,-6.2492753259556715e-06
88,-0.002066603588119382
89,-7.370177658402981e-07
90,-3.1002716742518527e-06
91,1.76855425350047e-06
92,-2.561573020762542e-06
93,-2.5104997580958468e-05
94,5.915809501760054e-10
95,1.394151372331351e-09
96,-8.434490357506362e-10
97,4.221272697356867e-09
98,-4.76892441993843e-08
99,-2.891441213429245e-09
100,1.7995289542468983e-09
101,1.8613895902198666e-09
102,1.809158886365216e-08
103,1.1747840343625271e-08
104,-2.8782164704753735e-08
105,2.4112803950004296e-07
106,4.999907210534695e-09
107,-1.7458566653113149e-07
108,6.589549719173476e-07
109,-0.06074258227507035
110,1.1413590419715333e-05
111,3.348307274606126e-06
112,1.6488426632885404e-05
113,-3.123004849132145e-05
114,-5.606625654211315e-05
115,1.2353141542483146e-08
116,-8.544558439288751e-11
117,-1.8143878351688823e-09
118,7.783287766505148e-09
119,1.5074922113210702e-09
120,2.2458116814680195e-09
121,-2.9520905554255403e-08
122,2.715903313706822e-08
123,-6.873734006236434e-08
124,2.9012731971903407e-07
125,-5.717198798873749e-07
126,1.7413960766527449e-06
127,3.683624027836566e-07
128,-1.392471517375196e-06
129,7.233021100821751e-06
130,-1.869526503335187e-10
131,-7.76268052709401e-12
132,-2.560872996397119e-10
133,1.2294791103420724e-10
134,-1.1927883084900497e-09
135,-9.839288389216128e-12
136,1.2320216859473902e-10
137,-4.125885616679838e-11
138,-5.703234183750778e-10
139,-2.9133166587581774e-10
140,9.798716521510745e-10
141,-4.2249215011199095e-09
142,-5.1799789211909e-10
143,2.9609997635921664e-09
144,-9.226809045032676e-09
145,1.2325427803262187e-11
146,6.228638390415991e-11
147,-2.6317887051597277e-10
148,3.8905774905572696e-10
149,-7.607981840443287e-10
150,5.736385092118311e-11
151,-5.143045018038502e-10
152,-6.859578330816114e-11
153,2.6995080463433845e-10
154,-6.380893316154722e-09
155,3.4138777282972795e-09
156,-6.293770365637437e-12
157,-7.661495417145071e-09
158,-4.088241132648161e-09
159,2.1186628108893332e-08
160,-5.427580570384806e-08
161,1.4734070987746205e-09
162,8.454693100375545e-09
163,2.311030865370509e-08
164,-3.5589088698587825e-07
165,535.7371586791714
