,COEFFICIENTS
0,-5.3548730713884943e-11
1,-6.611089211787436
2,-0.6487982058510241
3,-0.6755588496186075
4,-0.0012774251046724979
5,0.018834780833651588
6,0.1779642935920413
7,-0.18997900845433832
8,-0.2059137691124342
9,-0.1980050542711348
10,0.0025017877462603162
11,-0.08497910295513611
12,0.0005384173320675562
13,0.0005833372728560853
14,0.004492870082445141
15,-0.003417738686311278
16,0.011276413421544056
17,0.01327277162408438
18,0.00825844150826338
19,8.528905267614448e-06
20,8.138735516097589e-05
21,-0.0008720844726676357
22,0.0007037692035805585
23,-0.0013919786454487163
24,0.5398375470957725
25,-0.00018522867998753352
26,-2.9392477382840123e-05
27,0.0006443220100410987
28,-0.0006796502448267964
29,0.013901873408150552
30,7.669487152534542e-07
31,-2.244291563959055e-06
32,-2.6196962265775506e-05
33,2.7078326268466007e-05
34,-1.620309128440342e-05
35,-1.024259222278513e-06
36,-2.681053335624983e-06
37,5.826078609830922e-06
38,4.041679439387438e-05
39,3.271166311437714e-05
40,-8.133965633958887e-05
41,0.0006925626172541621
42,4.421589374496706e-05
43,-0.0008177524933655438
44,0.001113120764165572
45,0.012332272794587007
46,-0.0016065663840581531
47,-0.008939713052444977
48,3.049550867496091e-06
49,3.7492654476919776e-06
50,-0.0001552972361240985
51,0.00010538995709134695
52,-0.0003313820627401891
53,-9.203304059902291e-05
54,0.001001511111021627
55,3.286134176817555e-07
56,1.7869000709232988e-06
57,-7.902072662231704e-06
58,5.089017171017415e-06
59,3.791560977821329e-05
60,0.013280255668043686
61,1.4383969030939634e-06
62,7.060941364012606e-06
63,1.7860520586127945e-05
64,-2.9171781723243204e-05
65,3.901084413477166e-05
66,-1.412067994097193e-08
67,-1.138934756502179e-08
68,2.1093774159044752e-07
69,-2.299948486634488e-07
70,-4.085309199818446e-07
71,-2.4124122307705547e-08
72,-2.1612384303636376e-07
73,2.2226342381236612e-07
74,-3.111630059092849e-08
75,-6.80904046258813e-07
76,8.982571892558595e-07
77,-7.691272386733325e-06
78,-2.9922243504007376e-07
79,7.75808786064394e-06
80,-7.040032902585053e-06
81,-0.0002613458484726316
82,0.0010276094420661984
83,-3.527735580338453e-07
84,-3.9236531897463007e-07
85,6.985053801579601e-06
86,-4.937685223137246e-06
87,3.1407169852590497e-06
88,-0.00336497488581157
89,1.5514594100238827e-07
90,8.075884870600646e-09
91,-3.843997321068412e-05
92,3.585332756530456e-05
93,-0.0002616083126081376
94,2.0845052492251965e-10
95,-1.606467855154881e-09
96,5.866820649805872e-08
97,-5.058278544385899e-08
98,1.3488996473960478e-07
99,-2.814269127855692e-09
100,2.2255828671727834e-08
101,-1.722296182843972e-08
102,1.0720431234890848e-07
103,-3.608506143252365e-09
104,-3.449168306795125e-08
105,-9.641054226407239e-07
106,3.2836187091587734e-08
107,9.470953840954981e-07
108,-4.295652836578758e-06
109,-0.02287957403693762
110,-1.4981367378937453e-05
111,-2.142077950205204e-05
112,9.639332863265437e-05
113,-4.007561182944924e-05
114,-8.721362309642745e-05
115,1.0752236462371326e-08
116,5.7259308949126835e-09
117,-8.90476028261894e-08
118,4.0392031000224585e-08
119,-1.9000570237812053e-07
120,7.357800255971995e-09
121,-7.424801683119217e-09
122,-2.8906351665932976e-08
123,-6.532129921066644e-07
124,-1.0563469986765109e-07
125,-1.6716876837140787e-07
126,6.139894187077558e-06
127,5.368733968720724e-07
128,-6.307731301094268e-06
129,1.0506574120237371e-05
130,-2.2495820126447608e-11
131,4.4285016689144804e-11
132,5.214341696699022e-10
133,-5.854365166140299e-10
134,-6.308927542151086e-10
135,4.8840073523908e-11
136,8.32645975380988e-10
137,-8.82590755925583e-10
138,8.829245145643766e-10
139,1.5732471162884934e-09
140,1.5683203198135563e-10
141,-3.413716872482207e-08
142,-1.5212551297504257e-09
143,4.789622495307694e-08
144,1.69532706939222e-08
145,2.7586414016183772e-11
146,-2.092960758008243e-10
147,1.0241331826120472e-10
148,-2.025626796009635e-09
149,7.338944767294613e-10
150,-2.9206293805192976e-09
151,-2.236838993727381e-08
152,2.230009487019047e-09
153,2.0794242818029962e-08
154,-1.1984776129709667e-08
155,-2.5355900377465357e-08
156,7.503218636090558e-08
157,-8.89715324035703e-08
158,-7.940647687898426e-08
159,2.4746115529657654e-07
160,4.724330524910523e-07
161,2.941230587856629e-08
162,-1.5932346198585522e-07
163,-5.524971999424296e-07
164,-2.398523860911327e-06
165,-24.468321961112963
