,COEFFICIENTS
0,-6.737915780573824e-08
1,94.12829575436182
2,10.888217734594445
3,36.504447477437644
4,-0.9830542930966489
5,-3.651652692644865
6,-4.9811779413140265
7,5.758146335575163
8,-4.66236349924303
9,-0.7087234670616588
10,0.0037180843795031637
11,-0.2023837885401517
12,-0.007096190227074969
13,-0.006147099656552318
14,-0.020572782648132035
15,0.013978236625266835
16,-0.021204924503984354
17,0.05520393090006611
18,0.1494717801190362
19,-0.0011185585743840529
20,-0.0006881355630885245
21,-0.0010711103721321518
22,0.00023656957629453852
23,0.00428600655870637
24,-0.18428555102118105
25,-0.00240984488970975
26,-0.003452982530514977
27,-0.0009672298556411066
28,-0.0009552017858698213
29,0.031090248154838233
30,7.363601215177207e-05
31,8.204984850908997e-06
32,-4.9371086849633664e-05
33,-3.411949932365386e-05
34,9.627386537467312e-05
35,0.0002783949638258539
36,0.0007973500318765747
37,-0.0008278441765896957
38,0.0005904768755028933
39,0.0007410070148374179
40,-0.0014129529580609599
41,0.0018713297018246296
42,0.0006634973819118601
43,-0.0018015311360323296
44,0.0010735254292017196
45,0.015580216685458849
46,-0.0009255936212113076
47,0.0050768381061014455
48,5.2598181174791126e-05
49,-1.8956474272328536e-05
50,0.00015176321114458735
51,-0.0001693454930124678
52,0.00034947078438730104
53,-0.0011976424392891893
54,-0.0004057539375829513
55,1.3357903434923623e-06
56,2.8408732182993514e-06
57,1.0912539852972206e-05
58,-1.1674897362386511e-05
59,3.063499000603703e-05
60,0.004518740310695084
61,1.7889776434046066e-05
62,-9.449087076753567e-06
63,-5.1411900440694086e-05
64,5.771036572089529e-05
65,-0.00011031963350599184
66,1.7095263034270404e-07
67,1.1976786763378318e-07
68,2.625440331542525e-07
69,4.390900466246247e-09
70,-2.2245853544969935e-07
71,1.7658548177950334e-07
72,1.2429219731907423e-06
73,-9.85086148471421e-07
74,1.1389288594439846e-06
75,1.6956600712077662e-08
76,-1.7629321609941379e-06
77,3.1750154479437378e-06
78,1.736847663959432e-06
79,-2.29835765985891e-06
80,4.220963101109735e-06
81,-0.00022317779343548083
82,-0.00014161184712220643
83,-2.3788668431452004e-06
84,-6.090917830013075e-07
85,-1.1431997549832791e-06
86,-2.7869506750262276e-06
87,3.144381723088503e-05
88,0.0023593636627528758
89,2.380023920793271e-06
90,-1.472042895587753e-05
91,-9.329842163719346e-08
92,-8.673688694623406e-06
93,4.724662603958907e-05
94,2.625694528262776e-08
95,3.478175404756021e-08
96,9.82398616606222e-08
97,-3.874046113049083e-08
98,-1.7208886814363429e-07
99,1.0350453181730329e-08
100,4.4990055293278166e-08
101,-1.1251495244305041e-08
102,-1.458178602143243e-07
103,-2.5210247022027934e-07
104,9.065947075913543e-08
105,-4.5885758768646234e-07
106,1.1449353513712902e-07
107,9.038490452058561e-10
108,-2.2035570227617568e-06
109,-0.026286710166718227
110,3.808737559886695e-05
111,-2.172944413993031e-05
112,2.7597835638332727e-05
113,1.6989667002287437e-05
114,0.00026125860990340447
115,2.199436677337124e-08
116,1.27489828676779e-07
117,2.0089478711275279e-07
118,-1.5706226641321295e-07
119,-9.56162183650493e-07
120,9.69540036753621e-08
121,1.3065041748151716e-07
122,-1.1866790121241404e-07
123,-1.3809751934349212e-06
124,-7.919384786735803e-07
125,1.2419792017875747e-07
126,-2.8879296856864354e-06
127,1.0492250461315593e-06
128,1.957772553696279e-06
129,-5.449476738500909e-06
130,-1.584827156043431e-09
131,-1.0000901509801717e-09
132,-2.7640266611120666e-09
133,5.068258249523798e-09
134,-5.867162455241037e-09
135,6.389134231401862e-10
136,1.0481184505641551e-08
137,-8.89398241883932e-09
138,8.205410684935666e-09
139,1.3052208800250065e-09
140,3.022298966878674e-09
141,-8.406628045757551e-08
142,-3.951408873412095e-09
143,8.994158712662459e-08
144,-1.4746601154287355e-07
145,-7.368451115681243e-09
146,-3.609002455099225e-08
147,3.6368993192822445e-08
148,-2.7611410152421127e-08
149,-4.7878948291235925e-08
150,9.293813100522404e-08
151,-4.740487075044158e-08
152,-4.4013992372677686e-08
153,3.661991795577126e-08
154,7.707885851003136e-08
155,-4.0960435780758165e-08
156,9.129783787259982e-08
157,-2.2507424073242602e-07
158,-9.058378668427793e-08
159,4.561092165317203e-07
160,-3.22444397701215e-07
161,3.5606544216962403e-08
162,-2.3703616370110718e-07
163,4.0477394469275024e-07
164,-2.9343089940962617e-07
165,19825.33848062548
