,COEFFICIENTS
0,6.063830514625867e-11
1,-10.083635635795613
2,-3.540635744750813
3,7.829081794675371
4,0.13504619024272715
5,0.02577752608498042
6,-0.06566675686897955
7,-0.021784228524668606
8,-0.45252286460163543
9,-0.4430353404402873
10,0.03625678863981088
11,-0.48827635274425923
12,0.0007542908329662997
13,0.0007828079868502843
14,0.0020434741758998693
15,0.001124437099996373
16,0.0020828587941194715
17,0.043051735885934
18,-0.06979258002911365
19,0.00021625564836344854
20,0.00022731171383030886
21,0.00024224126234843464
22,-0.000295935689927945
23,0.0004154729845456566
24,-0.2600103325950623
25,-0.0007540235733145143
26,-0.00018953067082503263
27,0.0014893303801604726
28,-0.0001700281379352884
29,0.013052113844146146
30,-8.443609839249956e-06
31,-6.205307515248221e-06
32,-2.9061543669884964e-06
33,6.808715606146007e-06
34,2.813413945198175e-05
35,1.5886312325686116e-07
36,6.018830958055876e-06
37,-1.4009371038701434e-06
38,3.450279541258282e-05
39,2.7401911186595893e-05
40,-3.092321829567574e-05
41,0.00010909934098763473
42,1.7829387742068225e-05
43,1.4005474790012667e-05
44,-0.0007445607719203409
45,0.032722372487972204
46,0.001484022323923126
47,-0.000782416960452518
48,-3.0134523249726054e-07
49,-3.477237645851737e-06
50,-8.383761640127136e-05
51,-1.8526995530425385e-05
52,0.0001453216303772153
53,-0.0015334609859023367
54,0.004029887108488769
55,2.575782310190968e-07
56,-1.0795099720189964e-06
57,5.006674247748279e-06
58,-3.4080588129719607e-06
59,-6.264562355638335e-05
60,0.025005769334431636
61,8.308857888919143e-06
62,7.428529047430144e-06
63,-1.3017524714922326e-05
64,1.2282142990102726e-05
65,0.00015064137432031386
66,-3.272866950656157e-08
67,7.096555340406034e-09
68,-2.5773337085870397e-08
69,-1.1152090463498604e-08
70,2.8106338895970735e-07
71,-2.631561873269026e-08
72,6.32965098811318e-08
73,-1.2655573136395678e-07
74,-5.593007570899948e-07
75,-3.8901492492881915e-07
76,6.145989892773984e-07
77,-3.836208882186068e-06
78,-3.961489342275521e-07
79,2.1285223751115157e-06
80,1.19067033549144e-05
81,-0.00022049166611930358
82,-3.638204380379465e-05
83,-1.2740324568269026e-06
84,-3.647995595548164e-07
85,1.0452917508481094e-06
86,2.6459574482894085e-08
87,-6.169213497243611e-06
88,0.0029547282462852355
89,3.124911345650018e-06
90,-2.2070625360535834e-06
91,3.396139299369168e-06
92,-5.950126507015544e-06
93,5.262774281167498e-05
94,-6.269683015950749e-09
95,-2.104162336796747e-09
96,-7.3273457440718805e-09
97,1.4504508060399599e-08
98,-4.501227468147311e-08
99,-6.65506353025556e-09
100,5.22128801828513e-09
101,-1.066155590778247e-08
102,4.058427155379355e-08
103,-1.11813439085912e-07
104,1.2654191559008937e-07
105,-2.95120158542226e-07
106,-1.9411468302156364e-08
107,2.99493031068434e-07
108,1.0236233679873628e-06
109,-0.028502880345939136
110,9.43750484415585e-06
111,1.0733185437326394e-05
112,1.6668982633788008e-05
113,1.1225636416422078e-05
114,-8.159470398028648e-05
115,2.146571067528398e-08
116,1.3329138631602006e-08
117,-1.140731387206409e-07
118,9.473839831732779e-08
119,-8.4386976978476e-07
120,5.902056774087153e-09
121,-4.6442260274570365e-08
122,-4.166142348043376e-08
123,-5.348430101182546e-07
124,1.6328698419843453e-07
125,-6.987735632977635e-07
126,2.7221708731632843e-06
127,3.888690304099625e-07
128,-1.4129863723349488e-06
129,3.316186586700276e-07
130,1.6413811236890418e-10
131,2.1157730389993e-10
132,2.331452544298974e-10
133,-2.0176835240636775e-10
134,-7.317081383534276e-10
135,5.51237815958283e-11
136,-5.158882484221651e-11
137,-1.5805299414005982e-10
138,-1.200597654031833e-09
139,-1.1472399294439315e-09
140,3.8369511854798417e-10
141,7.760837234377315e-09
142,1.1717533106009473e-10
143,-1.0170362005638949e-08
144,4.068002894662707e-08
145,-9.220631816160535e-12
146,-2.1737560741509537e-10
147,1.623195445929458e-10
148,-8.739004936054391e-10
149,1.6259625318660676e-10
150,7.404491036904148e-10
151,-8.065901735140013e-09
152,-4.982925787190472e-10
153,1.645988622139201e-09
154,5.750798880627061e-08
155,-4.11649346761552e-10
156,3.701661242393492e-09
157,-5.324378110078458e-08
158,-4.839202442843575e-09
159,5.818202789742953e-08
160,7.110935293074797e-11
161,-6.437964810058197e-10
162,-6.086279301554403e-10
163,-9.268566378792735e-08
164,-5.729909337339996e-07
165,-563.5991100062254
