,COEFFICIENTS
0,6.695320396080182e-11
1,-5.876163337641171
2,-0.5783211944670134
3,5.10808940009719
4,-0.04718782674880923
5,-0.03210647716669385
6,-0.032052037224460296
7,0.07236525478954481
8,-0.9702130500031555
9,-0.1471518064567721
10,0.052274619241913914
11,-0.01721440479942351
12,0.0006259584268073496
13,0.00022603651044011245
14,0.0014520718335140537
15,-0.0008591396570004671
16,0.007101689589877391
17,0.0022003401079544347
18,-0.026262669223175588
19,1.3801551129339901e-07
20,2.7967584131504737e-05
21,0.0005006642586695701
22,-0.000308078926267768
23,0.0021659872308273306
24,0.05768328023773665
25,-0.0006202684040420017
26,-0.00010754981291721267
27,-0.001974547870951433
28,0.0014945479290961255
29,-0.00032625034339435184
30,3.402161787361004e-06
31,3.877063183808006e-07
32,-7.951947322387153e-06
33,6.233496128643321e-06
34,3.4970980372454386e-05
35,2.174969784496089e-06
36,9.705486966878672e-06
37,-1.307259470297218e-05
38,7.274864490549961e-05
39,2.2177747358613422e-05
40,-5.554191807841545e-05
41,0.0002811865714337991
42,2.9634200608480678e-05
43,-0.00023531332943652866
44,0.001761895723077908
45,0.011930717572240119
46,-0.0021923419763669027
47,2.0116507658949324e-05
48,2.6560599400197344e-06
49,3.5845743472237333e-06
50,-6.27717009614025e-06
51,-3.501791769483624e-05
52,-0.00031179245651702874
53,-0.0006008618211551596
54,0.0012177743805009903
55,1.4012276502354782e-07
56,5.945673182342902e-07
57,9.808749203563053e-06
58,-1.0982196393937262e-05
59,4.590775105588392e-06
60,-0.010087402826639644
61,4.187541380196885e-06
62,7.105724222396512e-07
63,-1.584547037318892e-05
64,3.090416430546859e-05
65,-0.00012134982283638442
66,-3.10895399095406e-08
67,6.394449938135773e-09
68,-7.142104279586117e-08
69,4.671589919642876e-08
70,2.510961109113913e-07
71,-1.3833738226644112e-08
72,4.065193519275376e-08
73,-4.1290705982084904e-08
74,1.4118242386124534e-08
75,-4.1956053943006804e-07
76,1.0845293976836544e-06
77,-2.2491523629064843e-06
78,-6.059595403208135e-07
79,2.8381507984547714e-06
80,-1.7034024585873993e-05
81,0.00010567521328534542
82,0.0004318318412375273
83,4.0412510262343793e-07
84,-6.78998731157665e-07
85,-7.5292313811359455e-06
86,4.928520642616488e-06
87,-2.554415225623787e-05
88,0.000408685777467866
89,4.273500569050866e-07
90,1.652939494801534e-06
91,-1.6329660861999465e-05
92,5.9459678927623384e-06
93,-0.00010201692016943877
94,3.2713873090045366e-10
95,-1.5488423854231852e-09
96,2.7576274795705477e-09
97,-2.742333655897216e-09
98,6.638741539925836e-09
99,2.338283789770659e-10
100,1.5828938472287161e-09
101,-1.0564690562226675e-09
102,-2.847915052261574e-08
103,-1.0755197372305344e-07
104,1.2081983847871077e-07
105,-5.137779163407555e-07
106,-2.7673604698582353e-08
107,3.08732745267159e-07
108,-7.717836952015113e-07
109,-0.02097068530446578
110,5.0164581368872085e-06
111,7.035221394762317e-06
112,3.7096885466958286e-05
113,-9.077384232493295e-07
114,-6.331331614703665e-05
115,1.3249148902714935e-08
116,9.644152499619638e-09
117,5.521910675396662e-08
118,-3.462960146216751e-08
119,3.867195155575442e-07
120,-2.726983462369234e-09
121,2.6809723584413887e-08
122,-2.611558250583406e-08
123,-9.607091194752224e-08
124,5.576210661123764e-07
125,-5.854097614657438e-07
126,3.164140909327623e-08
127,7.697095221376598e-08
128,-2.612874490021404e-07
129,-3.1030546709160184e-06
130,-8.503342965506287e-11
131,-1.3614869758004436e-12
132,3.584378106995377e-10
133,-2.7536242962894853e-10
134,-7.200620407850967e-10
135,-1.5558081920478052e-11
136,4.59563621354017e-11
137,1.447037892562189e-10
138,-1.7224513917108525e-09
139,-4.001323109339158e-10
140,-9.82488090177943e-10
141,-3.199038720104584e-09
142,3.2418894279514796e-10
143,3.611889834673604e-10
144,6.995929390374474e-09
145,-4.856278485032441e-11
146,-2.454298710298514e-10
147,3.057558643773188e-10
148,-1.2276771718573282e-09
149,-1.3803099175125575e-09
150,2.621166913374244e-09
151,-1.5065051746634522e-08
152,-1.3801181762135218e-09
153,1.118323001995367e-08
154,-5.344985010424983e-08
155,-2.3692599153781926e-09
156,1.0152077749014986e-08
157,-1.3487895700143914e-08
158,-7.200942416707853e-09
159,7.734953487467133e-08
160,-1.9895309051787245e-07
161,2.295976305523926e-09
162,-3.697017713188504e-08
163,8.688361617486291e-08
164,-1.8147379767401006e-06
165,346.90877877470035
