,COEFFICIENTS
0,1.1727437666647537e-11
1,-1.1543279857312854
2,-1.146209742659136
3,6.949231592959105
4,-0.0076342179960698624
5,-0.012035210295600559
6,-0.07195131382098621
7,-0.029777005573292895
8,-0.3882471818960772
9,0.05309323784737832
10,0.08136344838445479
11,-0.23699767515898762
12,7.98663613999602e-05
13,-0.00012286718168444657
14,0.0024292495574721957
15,-0.001071256623768436
16,0.006889336995905947
17,0.009964773216201083
18,-0.02552741158120241
19,6.486269156284105e-05
20,5.085553910727153e-05
21,-5.1630547074274315e-05
22,6.428021462865544e-05
23,0.001034074920706103
24,0.3715814506517513
25,-0.0005946220369906357
26,-0.00041741532227608947
27,-0.0014922593339661413
28,0.0012505196409609285
29,-0.0024417657660522262
30,1.3966435400792254e-06
31,-1.5430995521274424e-06
32,2.8918725090120977e-06
33,5.346108605992743e-06
34,-3.2324138583000114e-05
35,1.4225954377944318e-06
36,2.9052402507220306e-06
37,-8.375034495136567e-07
38,6.750873608804806e-05
39,1.4674355725052791e-05
40,-1.3184602762058522e-05
41,9.033378970711962e-05
42,2.759514543998837e-05
43,-0.0001150535827581366
44,0.0006596720174154011
45,0.0012396432184531496
46,-0.003356794981526483
47,-0.00029908957092552034
48,-3.2770509147487504e-06
49,9.57353283256949e-07
50,-4.269199234009072e-05
51,-3.850364756342255e-06
52,0.00013884260271949272
53,-0.0007702608708501381
54,0.002119704907435279
55,-9.004520063468872e-07
56,7.512540329684397e-07
57,2.8265796522221933e-06
58,-3.1983194514927545e-06
59,-2.7972943130315496e-05
60,0.0022950643503939832
61,1.4633353290594076e-05
62,-3.348023964930024e-06
63,7.580008943803264e-06
64,2.218963560134261e-05
65,-1.0650340178348159e-05
66,-3.934487627521674e-09
67,7.061316524532662e-09
68,-4.953112968704231e-08
69,5.305135534552781e-08
70,-6.565056555975615e-07
71,3.998996157487897e-09
72,-4.150629387984752e-08
73,-3.888564147947234e-08
74,3.7613150078740237e-07
75,-3.0997203584615726e-07
76,5.740522135536067e-07
77,-1.0920076013270028e-06
78,-2.8014306122807077e-07
79,1.5591926552391294e-06
80,-7.862835441409656e-06
81,-0.00011766983800598657
82,0.00044783859239908827
83,9.912331359756241e-07
84,-1.3035042282808088e-06
85,1.0259644552019607e-06
86,1.1978129457048687e-06
87,-1.9589502258560102e-05
88,-0.004839396493067684
89,1.0582811660051467e-06
90,2.1332709881132925e-06
91,-6.641461902330259e-06
92,1.2433425624286286e-06
93,-1.3644457646601943e-05
94,-1.5958736769978808e-09
95,-3.005153821029597e-09
96,5.0314892368720234e-09
97,-1.2151965035220744e-08
98,-1.6337451634886863e-08
99,6.26146025495265e-10
100,4.13434758155523e-09
101,-4.410512364438275e-09
102,1.8014806586552155e-08
103,-4.171052977014807e-08
104,1.0248106397276572e-07
105,-1.3934561482150545e-07
106,-3.826624187757632e-08
107,1.627259252130661e-07
108,-1.415163105920361e-07
109,-0.030838170855064684
110,-6.7650656997676135e-06
111,2.136798338707429e-06
112,4.134688099524866e-06
113,-6.081990514171157e-06
114,-8.372948238133678e-06
115,1.9720691109033614e-08
116,1.2402497966640233e-09
117,6.952310290305415e-08
118,-8.731494267458248e-08
119,1.695903396617705e-07
120,1.5378861892707396e-08
121,2.4616569249232043e-08
122,-1.4371458097961094e-09
123,-2.293555266240087e-07
124,1.2985553628787172e-07
125,-3.0987078920278706e-07
126,8.064926784500572e-07
127,2.0012610055997813e-07
128,-5.468554922608699e-07
129,5.505081795653277e-06
130,-6.452859752863817e-11
131,6.85039561682192e-11
132,-2.5464479457269707e-11
133,-1.60458921060972e-10
134,1.709518606920146e-09
135,1.1465517429351812e-12
136,-1.2584233219577186e-10
137,6.765950482201493e-11
138,-1.015107038802322e-09
139,5.237227967966057e-11
140,-6.711675763313201e-10
141,-5.179579332037613e-10
142,-3.7848323483992924e-10
143,1.7415640792021356e-09
144,4.782290981600562e-09
145,-3.6603977337208736e-11
146,5.95028303930419e-11
147,-4.764019169339671e-11
148,-1.6018043567090055e-09
149,-1.291736747080644e-09
150,1.9017684957469012e-09
151,-2.4157388095337506e-09
152,-1.0351059260355835e-09
153,1.0339533516345064e-09
154,-3.1271485827474045e-08
155,2.530952245154878e-09
156,-3.635941414331787e-09
157,-1.017594868754334e-08
158,7.539336260996688e-10
159,1.7170893621498346e-08
160,-8.33530998232864e-08
161,-2.913914779229947e-09
162,8.646418147084288e-09
163,3.639120985257304e-08
164,-2.2988255272737788e-07
165,105.2002253337422
