,COEFFICIENTS
0,2.511704586312594e-10
1,-13.458960418176234
2,-2.935731138869579
3,4.634990935531534
4,-0.3802782797831876
5,-0.12429247287447631
6,0.493371335675634
7,-0.6077607852754018
8,-1.8552696675126756
9,-0.6672484891047178
10,-0.07884390141063247
11,0.31346561083494345
12,0.0027099831068752678
13,-0.00026074763021346727
14,0.004982717654733255
15,-0.0032411449037077792
16,0.02450101517517467
17,-0.016687204560450544
18,-0.06565960533558726
19,0.00019010996372723825
20,0.0003790557118043996
21,-0.00017756363441363382
22,-3.8234266308630327e-05
23,-0.0007696369257864878
24,1.143414528476423
25,-0.00012438642264768645
26,-0.001513887246647732
27,-0.0007630162407966268
28,0.0011003461795426805
29,0.0034516531096343557
30,1.9086510077155108e-05
31,1.1720451438989406e-05
32,-0.00011292156214167433
33,0.00012567252187385848
34,0.00015396431245330697
35,5.372123763922722e-06
36,1.722295231854373e-05
37,-1.7392205327405952e-05
38,-1.2850721757195362e-05
39,1.2886044558495575e-05
40,-7.092265276595552e-05
41,0.0010069608349566196
42,6.797291702027306e-05
43,-0.0008952473466976214
44,0.00382559586111999
45,0.006836773086477336
46,0.0007099679138130107
47,0.003888753141365645
48,6.023784785591728e-06
49,2.2604306247686707e-05
50,-1.702577838507788e-05
51,-1.736907922295563e-05
52,0.00036180943529288864
53,-0.0008749134633508225
54,0.004858388889638377
55,1.230778589125959e-06
56,5.178795985742814e-06
57,1.026269548984415e-06
58,-3.8135947904114477e-06
59,4.560370508753799e-05
60,0.008266323383726177
61,1.2437634513944131e-05
62,-4.111812019939478e-05
63,-6.005062646896539e-05
64,2.9802792989515568e-05
65,-0.00030340902638513657
66,-1.007964964843373e-07
67,-9.51057349496801e-10
68,4.0487706050849086e-08
69,3.0347245386233785e-08
70,-1.4756869925173177e-06
71,5.925164140426216e-09
72,-2.1552666501866036e-08
73,-7.455526152004555e-08
74,-3.364614591742672e-07
75,-1.3304501780110126e-06
76,1.2701292762925815e-06
77,-8.002744074050631e-06
78,-1.9012646687295378e-07
79,6.427186265006614e-06
80,-4.448229711159749e-06
81,0.0005870337873458265
82,-0.00015390801108012322
83,1.72619989563626e-06
84,-2.8528383144339806e-06
85,2.2575485200451856e-06
86,2.2120988718384485e-06
87,-1.1217213049695808e-05
88,0.006406158713175081
89,-3.623821889334694e-06
90,2.6904693283073586e-06
91,7.888487739257097e-06
92,-9.643869462871885e-07
93,-4.185906971588994e-05
94,-5.986899165719922e-09
95,-5.33463414443634e-09
96,-6.8768448536106255e-09
97,1.5322991131680165e-09
98,-7.602309602728264e-08
99,-1.0755724150976903e-08
100,-1.864347985664875e-08
101,1.9128452475238806e-08
102,1.0281848941248784e-07
103,3.549225645489854e-08
104,4.2580150451830995e-08
105,8.904546681884247e-07
106,-8.316497420247993e-09
107,-9.161516471956238e-07
108,2.2970415348966266e-06
109,-0.11355829145621575
110,-4.9953326449690564e-05
111,6.059990910369728e-05
112,1.9425403002104054e-05
113,3.287491975168223e-05
114,-0.0005213782882178218
115,2.1993908722145594e-08
116,-1.1067745194333882e-08
117,4.80214470857661e-09
118,4.1898606676735296e-08
119,1.58432973761338e-07
120,6.114684475688865e-08
121,1.589166212914754e-08
122,-1.1369140009268232e-07
123,-1.5862953164601186e-07
124,6.896814058305339e-07
125,-2.781311294743765e-07
126,-1.7598462254244395e-06
127,-1.0361647741446204e-07
128,1.2839690425956849e-06
129,6.066305778868922e-06
130,-3.3263024689285495e-10
131,-2.9393667382809036e-10
132,4.326736010127129e-09
133,-4.405290230023462e-09
134,-3.274058634615643e-10
135,-6.772596252923541e-11
136,4.5513471976598574e-10
137,-8.249678786900951e-10
138,-5.410692252358338e-09
139,-1.657481657729453e-09
140,5.82321434108499e-10
141,-3.129504933071586e-08
142,-8.153118190257703e-10
143,2.1122706682068105e-08
144,-1.262823002346721e-07
145,-1.8293879081656047e-10
146,-3.7953486559450747e-10
147,6.876003977360711e-10
148,3.4907807152480506e-09
149,-4.960592559285557e-09
150,6.538030330439615e-09
151,-2.3715679346822894e-08
152,-2.734237535597631e-09
153,2.4617945473249396e-08
154,-3.2946480500435116e-08
155,2.930709465830176e-08
156,-4.04284563151226e-08
157,1.4176735351130165e-08
158,4.3410116349617184e-08
159,-6.792613922543738e-08
160,-2.864587505299066e-07
161,-2.4190485847544124e-08
162,7.995626884808622e-08
163,1.4153305355856096e-07
164,-2.3148894253703763e-06
165,2381.93426074207
