,COEFFICIENTS
0,8.118802727273407e-12
1,-0.6998403724491612
2,-0.7945901667510441
3,3.753436486178291
4,-0.0057881140264519305
5,-0.04459883366660446
6,0.04235779855753093
7,-0.046340667091716845
8,0.1360712301074983
9,-0.3579534519394138
10,0.028585869797174045
11,0.023013014748512337
12,0.0002594615208192909
13,0.00011715972553832288
14,0.0014114133437700721
15,-0.0015504778643328494
16,0.009890062735417385
17,0.01960567253868979
18,0.024596269109275506
19,2.010639517647641e-05
20,6.115660039032011e-05
21,4.787165059179641e-05
22,-0.00016456413052822106
23,0.0006000171611304205
24,0.17542245089071087
25,-0.0003964207337943372
26,-0.00027182117833163564
27,-0.002021775759113164
28,0.0013994204204212475
29,0.003037937303155904
30,-6.267769600351031e-07
31,2.1077208331857482e-06
32,-3.936386652088148e-06
33,3.360809403528067e-06
34,-7.4119748293072515e-06
35,2.5466712106887653e-06
36,1.0840740151613888e-06
37,-1.1661309053889043e-06
38,-1.462573416274933e-05
39,-1.2277275423200746e-05
40,-1.4266208557317167e-05
41,-6.720163968256108e-05
42,4.2412344199753246e-05
43,2.1792073360947116e-06
44,-0.00040583248318525956
45,0.02125428415466635
46,-0.001955498332411314
47,-0.00462360182076487
48,1.2669195023415352e-06
49,4.227665321797723e-07
50,-7.985138247268821e-05
51,2.884983495782978e-05
52,-0.0005231559035987407
53,-0.0003149238808274446
54,0.0014990944146854102
55,2.913628824197171e-07
56,-2.093207629925325e-07
57,1.1010479440858031e-05
58,-3.101924286614208e-07
59,-5.876096953386611e-06
60,0.007285170389480431
61,2.1838784990253953e-06
62,-3.0789607598113e-06
63,-4.448045584886525e-06
64,-1.2758678096206058e-05
65,-8.414083342153489e-05
66,-1.0901198463931932e-08
67,-4.795614696882468e-10
68,2.1970010282146672e-08
69,-6.8266365366527365e-09
70,-9.651422971303241e-08
71,-5.326362966936361e-09
72,1.7543968348417627e-08
73,1.0246902434642287e-08
74,-1.5829015754433473e-08
75,-4.4723332210246996e-07
76,1.0677633170579815e-06
77,-1.2767548731150195e-06
78,-5.498563563687572e-07
79,1.9596326002451825e-06
80,3.7450010355101707e-06
81,-0.00026368396818111223
82,0.0005608154113549646
83,-3.176855330388919e-07
84,-2.74555608629893e-07
85,-2.0198678913505937e-06
86,-8.180883890423807e-07
87,-9.715708565565543e-06
88,-0.004822817892500166
89,-8.360308423153507e-07
90,3.615840937155411e-07
91,-9.889755229188018e-06
92,3.983310680825389e-06
93,-7.928112396273775e-06
94,-7.969229465495486e-10
95,-2.3883294222587154e-10
96,4.169480641806395e-09
97,4.634151278180419e-09
98,1.0089435054336168e-08
99,-1.883121004083058e-09
100,3.3287414445515837e-09
101,-1.6907861859721804e-09
102,-2.3648440670428294e-08
103,-4.895914516442516e-08
104,1.2392250950685992e-07
105,4.156152284470986e-08
106,-5.468925311183866e-08
107,1.0558854523259948e-07
108,3.6823386291604606e-07
109,-0.030924408056168494
110,6.519514572507251e-06
111,7.77188649182812e-06
112,-2.004904320318676e-05
113,-2.7417103955916204e-05
114,-0.00036229307328636176
115,1.0282982341743045e-08
116,2.7554506066861507e-09
117,1.137752015987836e-07
118,-6.301511726568832e-08
119,5.86067343847556e-08
120,7.377258946527961e-09
121,1.7450615629840744e-08
122,6.271261943792203e-09
123,-1.6065599516529516e-07
124,4.1363861295524197e-07
125,-4.0813565195897523e-07
126,4.500805186784503e-07
127,2.731095140726746e-07
128,-2.0194509820127273e-06
129,7.436730107442072e-06
130,3.1506482672536174e-11
131,-5.149239874174983e-11
132,1.3244322374363378e-10
133,-3.934603749129117e-11
134,3.385751760780115e-10
135,-2.3903540204039114e-11
136,-5.855201505269943e-11
137,3.0975784561757795e-11
138,-6.564345266028668e-10
139,4.11605924131089e-10
140,-1.4213622467684277e-09
141,3.730882308884415e-09
142,3.461879387291187e-10
143,-3.994449793219476e-09
144,1.8917528920851028e-08
145,-6.216281499892404e-11
146,3.386689939585851e-11
147,1.6300174123926414e-11
148,5.626809189004747e-10
149,-5.584529117001729e-10
150,1.4555138941662418e-09
151,-1.1891114295174254e-10
152,-1.242795079334436e-09
153,9.586427049537197e-10
154,3.933393602943348e-08
155,2.237253262357474e-09
156,1.893754457391559e-08
157,-4.596168210041331e-09
158,-3.549087961725406e-08
159,8.029570766603894e-08
160,1.6312583624450934e-08
161,1.1871962957954334e-08
162,-5.609253876469515e-08
163,-1.0622851106907966e-08
164,-4.297649745388103e-07
165,202.428131288203
